MEETING_ROOM,n
neob parking garage,6
none,1
north and,2
north court,11
north driv,33
north drive,4
north drive and west,2
north grou,3
north lawn,90
north port,21
nsa suite,4
nsa sullivans office,4
nsao,3
nsc lower suite ww,1
nsc suite,1
nsc upper,1
o-15,3
o-19,4
o-21,30
o18,7
o19,14
o20,3
o21,8
o62,1
o89,6
o8b,3
office of,1
old family,1
old iron s,5
omb balcony,6
onboarding,1
ostp,1
outer oval,4
outside of p1,2
outside of the resid,9
oval,62
oval and r,4
oval offic,406
oval office,133
oval ofice,3
oval stat,8
oval west,2
oval ww,1
p1,3
palm room,3
parking,1
parking garage,2
parking on,2
pass &id,1
pass and i'd,1
pass offic,28
pass office,10
pass office 17,1
pass office room 18,2
pass/id office,1
pastry kitchen,3
pastry sho,4
pdnsa offi,1
pdnsa suit,6
pebble bea,5
pebble beach,32
penn ave/south drive,6
pennsylvan,17
pennsylvania avenue,5
penthouse,6
personnel security,1
pfs,2
picnic tab,1
piv office,2
pmo office,1
pool deck,14
pool deck/basement,2
pool house,6
pool side/first floo,94
pool/basem,2
poolside and first f,9
poolside/first floor,2
portico poolside fir,44
post 1,92
post 1 / tent,42
post 14,2
post 5,26
power sect,1
ppr gcr,1
press brie,6
press briefing room,30
press lobb,2
press offi,10
press office,1
press room,3
private ew tour,5
private re,1
pro office,1
pull through post 1,257
pull through post 5,9
quarters a,15
r94,5
rec clinic,10
red room,2
red room/w,5
res,202
res-- east,6
res- north,3
res- state,84
res- state dining ro,1
res-state,16
res-state floor,6603
res - 119,1
res - east,3
res - east room,1
res - ew &,3
res - grou,8
res - it office,1
res - map,6
res - rose,10
res - south lawn,3
res - stat,6322
res - state,3
res - state dining r,7
res - state floor,2021
res - tour,1
res -ew &,18
res -state floor,84
res b26,1
res baseme,2
res blue r,2
res blue room,18
res bm b3,3
res bmb3,10
res cinic,6
res clinic,494
res clinin,1
res curators office,5
res dip ro,3
res diplomatic recep,16
res diplomatic room,1
res doctor office,1
res east,12
res east r,37
res east room,99
res electr,2
res g15,15
res g3c,4
res main kitchen,1
res map r,14
res map ro,10
res map room,4
res med cl,25
res med clinic,8
res medica,10
res medical clinic,2
res palm,1
res s lawn,1
res sdr,17
res south,61
res south lawn,50
res state,56
res state dining roo,2
res state floor,72
res tour,1
res white,1
res ww,2
res. grou,3
res/b27,1
res/flower,2
res/south grounds,3
res/south lawn,35
res/state floor,625
res: state,14
res222,1
residence,1107
residence - library,1
residence - south la,17
residence and tent,3
residence and west w,32
residence clinic,32
residence east room,2
residence ground and,8
residence grounds,2
residence main arvin,1
residence main kitch,10
residence man kitche,1
residence south port,1
residence tbd room,4
residence ushers off,3
residence west wing,32
residence ww,21
residence/east wing,5
residence/tent,1
residence/ww,6
residnce,4
restroom,1
rk office,1
rm 014 sc,4
rm 1,6
rm 111,2
rm 157,1
rm 159,208
rm 160,6
rm 161,1
rm 170,2
rm 171,2
rm 178,1
rm 18,12
rm 18 pas,1
rm 180,6
rm 189,1
rm 210 dip,7
rm 210/212,20
rm 22,1
rm 226,2
rm 230a,2
rm 230b,1
rm 25,8
rm 27,2
rm 274,3
rm 276,1
rm 3201,3
rm 326,2
rm 350,7
rm 374 whsr sms,8
rm 42 - ts,2
rm 441,1
rm 445,2
rm 472,11
rm 474,13
rm 491,1
rm 522,1
rm 62,2
rm 65,8
rm 76,1
rm 76 a,1
rm 80,2
rm 94,1
rm 97,17
rm#18,1
rm. 326,6
rm. 374,2
rm/210/212,3
rm014,4
rm08b,4
rm18,2
rm4221,5
rm430,7
rm87,1
roof anten,1
room #1,1
room 1,3
room 12,3
room 15,1
room 157,3
room 159,1
room 18,25
room 18 pa,1
room 19,2
room 200,8
room 21,1
room 226,2
room 230b,2
room 3104,2
room 347 sms large,4
room 350,3
room 353,1
room 374 sms large,2
room 404,1
room 450,3
room 460,12
room 47,2
room 472,8
room 474,1
room 476,17
room 497,1
room 60,4
room 68,1
room 69,1
