BDGNBR,n
183541,22
183542,31
183561,5
183562,4
183563,6
183568,22
183569,4
183570,33
183571,31
183572,22
183584,1
183609,1
183613,8
183649,3
183650,24
183651,7
183652,8
183694,4
183695,3
183713,13
183714,17
183715,26
183734,4
183740,4
183743,6
183755,3
183756,16
183757,13
183761,5
183762,6
183765,7
183776,1
183783,16
183784,1
183800,15
183801,8
183802,4
183818,3
183831,24
183856,7
183857,7
183904,2
183981,1
184045,2
184059,2
184091,3
184143,9
184206,1
184253,6
184340,4
184351,2
184359,5
184832,16
184848,18
184854,20
184855,11
184856,9
184861,16
184863,13
184876,8
184877,8
184878,10
184879,19
184880,3
184929,4
185099,20
185101,13
185114,4
185115,1
185172,14
185273,3
185274,15
185288,2
185327,1
185338,5
185358,4
185360,4
185371,3
185372,4
185383,4
185400,2
185401,4
185402,3
185412,26
185415,7
185445,7
185447,3
185495,1
185518,12
185528,7
185529,20
185530,9
185531,17
185534,5
185574,7
185578,11
185589,3
185625,1
185630,1
185648,4
185651,11
185652,16
185653,2
185675,3
185678,1
185685,26
185687,10
185689,9
185764,17
185766,1
185790,8
185798,15
185800,12
185803,16
185804,14
185805,9
185806,6
185817,11
185818,4
185839,1
185840,4
185841,1
185842,18
185882,17
185883,16
185900,2
185946,6
185947,12
185962,1
186044,1
186053,10
186054,7
186055,14
186056,15
186074,4
186076,4
186079,8
186093,2
186096,6
186131,2
186133,1
186139,10
186140,6
186141,12
186142,21
186143,6
186146,1
186151,3
186167,1
186169,2
186171,12
186172,10
186212,7
186218,12
186220,6
186251,9
186252,5
186253,2
186302,6
186303,1
186304,9
186323,1
186351,14
186355,1
186360,7
186361,16
186379,3
186380,3
186382,2
186384,1
186385,2
186387,4
186397,1
186404,14
186427,3
186428,1
186429,1
186436,1
186443,3
186453,6
186454,12
186458,3
186459,6
186477,9
186484,19
186603,10
186649,3
186683,5
186684,3
186685,8
186687,4
186723,1
186735,3
186736,1
186778,28
186779,23
186781,4
186789,21
186791,27
186792,24
186793,29
186795,27
