MEETING_ROOM,n
jp 712,7
jp 712 - 3rd floor,6
jp 712 3rd floor,1
jp 716,327
jp 716 1st floor,6
jp 716 room 103,1
jp 718,2
jp 722,5
jp 722 2-2,5
jp 726,7
jp 730,210
jp 730 1st fl,6
jp 730 1st fl conf r,5
jp 730 1st floor,8
jp 730 1st floor con,44
jp 730 2nd floor con,4
jp 730 3rd floor,1
jp 730 conference ro,28
jp 730 first floor,3
jp 730 first floor c,9
jp 734,48
jp 734 1st floor con,4
jp 734 2-1,6
jp 734 2nd fl,15
jp 734 2nd floor con,6
jp 734 3rd floor,2
jp 734 second floor,10
jp 736,95
jp 736 2-2,7
jp 736 2-3,1
jp 736 3rd floor,3
jp 736 fir,6
jp 736 first floor,2
jp 7th floor,10
jp blue room,1
jp ceq conference ro,1
jp courtyard,1
jp first floor conf,2
jp first floor confe,2
jp has 736,1
jp medical unit,1
jp townhouse room 10,6
jp usds,2
jp-1st flr conf room,1
jp-3202,18
jp-730,31
jp-734,49
jp-926,2
jp/neob courtyard,1
jp103,9
jp104,4
jp216,2
jp236,1
jp5020,38
jp712,41
jp712 1st fl,8
jp712 2fl,3
jp712 basement,5
jp712 floor1,9
jp712 main floor,1
jp716,39
jp716 103,1
jp716 basement,3
jp716 rm10,3
jp722,16
jp730,192
jp730 - first floor,3
jp730 1st floor conf,8
jp730 1st flr,1
jp730 first floor,6
jp730 first floor co,32
jp730 third floor,2
jp734,100
jp734 2nd fl confere,2
jp734 2nd floor,1
jp736,26
jp736 firs,2
jp9006,4
jp9274,1
jpo 103,6
kansas city chiefs e,1
kitchen and first fl,10
lafayette,2
laundry,1
laundry housekeeping,1
laundry residence,4
lawn,168
library,32
loading do,5
loading dock,15
loading dock equipm,2
loading zone,2
lobby,29
lobby foyer,2
lower cross hall,1
lower east,3
lower east executive,1
lower pres,8
lower press,58
lower press 18,2
lower press press br,2
lower suite,8
lower suite - g74,4
main gate,4
main kitch,1
main kitchen,20
main kitchen exr,5
main kitchen residen,1
main telephone room,2
map room,23
master control,5
mavy mess,1
mc,1
mds office,1
mechanical rooms,3
med unit 9,1
medical,4
medical cl,10
medical clinic,5
medical of,3
medical un,2
medical unit,2
medunit 97,1
medunit th,1
meet at 321,1
mess,223
mess (ww),1
mess lunch,12
mess rm 20,3
movie thea,1
movie theatre,14
n court,5
n. court,2
n/a,5
n/a general architec,3
n/s grounds pony she,1
national museum of w,15
navy mess,1598
navy mess - ww,1
navy mess and eeob 6,4
navy mess dining roo,12
navy mess eating spa,1
navy mess lunch,3
navy mess rm 19,1
navy mess rm 19 21,2
navy mess staff dini,6
navy mess ww,7
navy mess/ww,4
navy side and post 7,4
navy steps,24
navymess,38
nc and sc chiller pl,13
nea interview appoin,1
nec directors office,1
neob 10031,2
neob 2010,1
neob 3007,1
neob 3015,7
neob 3201,1
neob 400,9
neob 8211,3
neob b208,2
neob cafe,1
neob cafet,3
neob clini,6
neob clinic,3
neob first floor,2
neob garage,15
neob jp 103,5
neob jp 730 1st flo,3
neob jp 730 1st floo,3
neob jp 730 jackson,3
neob loadi,2
neob parking garage,6
neob training room,2
nm,21
none,1
north and,2
north court,12
north driv,33
north drive,13
north drive and west,2
north grou,3
north lawn,98
north port,21
north portico,11
north portico state,29
north west drive,4
northwest driveway,2
nsa office,9
nsa suite,6
nsa sullivans office,4
nsao,3
nsc lower suite,1
nsc lower suite ww,1
nsc suite,1
nsc upper,1
nsc upper suite ww,1
o-15,9
o-19,4
o-21,39
o18,15
o19,17
o20,3
o21,41
o62,1
o89,6
o8b,3
office of,1
old family,1
old family dining ro,13
old iron s,5
omb balcony,6
omb directors office,6
onboarding,1
ostp,1
outdoor tables,1
outer oval,4
outside,1
outside of p1,2
outside of residence,2
outside of the resid,9
outside ww,2
oval,128
oval and r,4
oval colonade,6
oval offic,406
oval office,396
oval office ww,4
oval ofice,3
oval stat,8
oval west,2
oval ww,1
ovp ceremonial,4
ovp ceremonial offic,6
p1,3
palm room,3
park on state place,2
parking,11
parking drop off,16
parking garage,11
parking on,2
parking on state pla,1
parking state place,2
pass &id,1
pass and i'd,1
pass and id,1
pass offic,28
pass office,12
pass office 17,1
pass office 18,2
pass office room 18,2
pass/id office,1
pastry kitchen,3
pastry sho,4
pdnsa offi,1
pdnsa office,11
pdnsa suit,6
pebble bea,5
pebble beach,70
pebble beach and ww,5
pending,5
penn and 15th,2
penn ave,8
penn ave/south drive,6
penn avenue,1
pennsylvan,17
pennsylvania ave,4
pennsylvania avenue,9
penthouse,22
personnel security,1
pfs,4
phone closet,4
phone room/cer,4
photo office,1
physicians office,5
picnic tab,1
picnic tables,24
piv office,2
pmo office,1
podium,1
pony shed n/s groun,1
pool,3
pool area,4
pool deck,22
pool deck/basement,9
pool house,17
pool side,16
pool side/first floo,94
pool/basem,2
pool/first floor,4
poolside,565
poolside and first f,11
poolside veranda,2
poolside/basement,39
poolside/first floor,2
portico poolside fir,44
post 1,390
post 1 / tent,42
post 1/pool side,21
post 14,2
post 5,113
post 5 / front lawn,12
post 5 first floor o,18
power sect,1
ppr,12
ppr gcr,17
ppr grand conference,1
press,20
press brie,6
press briefing,1
press briefing room,59
press lobb,2
press offi,10
press office,4
press room,3
private ew tour,5
private re,1
pro office,1
pull through post 1,257
pull through post 5,113
quarters a,15
r019,3
r94,8
rec clinic,10
red room,2
red room/w,5
res,3318
res - 119,1
res - east,3
res - east room,2
res - ew &,3
res - flower shop,2
res - grou,8
res - it office,1
res - map,6
res - ofl offices,30
res - rose,10
res - south lawn,5
res - stat,6322
res - state,3
res - state dining r,7
res - state floor,2029
res - state floor an,13
res - tour,1
res -ew &,18
res -state floor,84
res 115 - ushers of,2
res and ww,1
res b26,1
res baseme,2
res blue r,2
res blue room,18
res bm,1
res bm b3,3
res bm5,3
res bmb3,13
res cinic,6
res clinic,822
res clinic ground fl,1
res clinin,1
res clininc,16
res curators office,5
res dip ro,3
res diplomatic rece,6
res diplomatic recep,18
res diplomatic room,1
res doctor office,2
res doctors office,4
res east,12
res east r,37
res east room,175
res electr,2
res electric shop,1
res g15,15
res g3c,4
res hr office,1
res main kitchen,1
res map r,14
res map ro,10
res map room,29
res med cl,25
res med clinic,8
res medica,10
res medical clinic,11
res navy mess,4
res palm,1
res rose garden,7
res s lawn,1
res sdr,17
res south,61
res south lawn,55
res state,56
res state dining ro,2
res state dining roo,5
res state floor,74
res tour,1
res treaty room,1
res white,1
res ww,2
res ww mess,2
res yellow oval,2
res- east room,1
res- north,3
res- state,84
res- state dining ro,1
res- state floor,787
res-- east,6
res-bm,3
res-state,16
res-state floor,13431
res. grou,3
res/b27,1
res/ew,3
res/flower,2
res/south grounds,3
res/south lawn,1998
res/state floor,4827
res222,1
res: state,14
resbowling,16
residence,1349
residence - diplomat,1
residence - library,1
residence - physicia,2
residence - south la,17
residence - yellow o,5
residence / usher's,1
residence and tent,3
residence and west w,32
residence clinic,219
residence clinic and,3
residence east room,2
residence ground and,8
residence grounds,2
residence main arvin,1
residence main kitc,7
residence main kitch,10
residence man kitche,1
residence physician,20
residence physicians,8
residence south port,1
residence tbd room,4
residence treaty roo,1
residence usher's of,1
residence ushers o,9
residence ushers off,3
residence west wing,32
residence ww,21
residence/building 1,3
residence/east wing,5
residence/palm room,8
residence/tent,456
residence/tower,4
residence/ww,6
residents clinic,5
residnce,4
restroom,1
rk office,1
rm 014 sc,4
rm 1,6
rm 10029,1
rm 111,2
rm 157,1
rm 159,287
rm 160,42
rm 161,1
rm 170,2
rm 171,2
rm 178,1
rm 18,12
rm 18 pas,1
rm 180,6
rm 189,1
rm 210 dip,7
rm 210/212,20
rm 22,1
rm 225,1
rm 226,4
rm 230a,2
rm 230b,1
rm 25,8
rm 27,2
rm 274,3
rm 276,1
rm 3201,3
rm 326,2
rm 350,23
rm 373 sms large,15
rm 374 whsr sms,8
rm 42 - ts,2
rm 441,1
rm 445,2
rm 472,11
rm 474,14
rm 491,1
rm 51,2
rm 522,1
rm 62,2
rm 65,8
rm 68/ navy mess,3
rm 76,1
rm 76 a,1
rm 80,2
rm 94,3
rm 97,17
rm#18,1
rm. 178,4
rm. 298,1
rm. 326,12
rm. 374,2
rm/210/212,3
rm014,4
rm08b,4
rm159,1
rm18,3
rm4221,5
rm430,7
rm51,2
rm68,8
rm87,1
roof,4
roof anten,1
room	diplomatic rece,28
room #1,1
room 089,4
room 1,15
room 1 wwt,1
room 100 balcony,8
room 10258,8
room 12,3
room 145,1
room 15,1
room 157,3
room 159,1
room 160,1
room 18,41
room 18 pa,1
room 19,2
room 200,8
room 21,1
room 2200,1
room 226,2
room 230,4
room 230b,2
room 267,1
room 272,9
room 300,1
room 3104,2
room 347 sms large,4
room 350,3
room 353,1
room 374 sms large,2
room 404,1
room 445,2
room 448,7
room 450,9
room 450 b,3
room 460,12
room 47,2
room 472,8
room 474,10
room 476,17
room 497,1
room 60,5
room 68,1
room 69,1
room 70,1
room 74,1
room 81,4
room 9,2
room 91,1
room 94,16
room 97,10
room 9901,1
room o18,6
room one,2
room sow 228,1
room1,1
roosevelt,437
roosevelt rm,3
roosevelt room,587
roosevelt room - ww,4
roosevelt room tbc,7
roosevelt room west,15
roosevelt room ww,7
roosevelt room/oval,4
rooseveltroom,10
rose garde,573
rose garden,177
rose garden event,2
rosevelt room,11
rr,72
rr rosevel,1
s0w236,34
sb -230,2
sb 229,6
sb 235,1
sb 236,2
sb- 220,1
sb-220,5
sb-221,2
sb-222,2
sb-236,18
sb219,5
sb22,1
sb220,27
sb220 & 3201,1
sb221,1
sb226,15
sb233 sb2,1
sb235,3
sb235 401,1
sb236,43
sca,293
sca rm014,2
sdr,5
sdr res,1
sec. of wa,3
secret service stati,2
secretary,9
secretary of war,3
secretary of war roo,2
secretary of war sui,31
secretory of war,2
secure media suite,18
security office 3rd,5
sherman pa,3
sherman park,22
sherman park/lower e,3
side lawn,19
side lawn/tent,446
sit room,3
sit room or eeob,2
sit room small,3
sit room/w,1
sitroom,28
situation,111
situation room,274
situation room smal,4
situation room west,10
sitution room,4
sl,119
sl ew res,4
sma large,3
sms,1600
sms 374,53
sms 376,1
sms breakout room,1
sms conference room,1
sms exec,835
sms exec (374),5
sms exec (rm 374),4
sms exec / rm 374,22
sms exec 374,35
sms exec 3rd fl,2
sms exec 3rd floor,2
sms exec c,2
sms exec eeob 375,11
sms exec rm 374,2
sms exec/3,3
sms executive confer,7
sms large,1443
sms large 374,9
sms large 376,9
sms large conference,7
sms large room 374,2
sms lg,1
sms rm 374,1
sms rm. 374,16
sms rm. 374 or rm.,2
sms room #374,3
sms room 374,3
sms rooms,6
sms small,237
sms small conference,4
sms suite,1
sms tbc,6
sms-374,10
sms-exec,20
sms-large,9
sms-small,5
sms/374,1
sms/390,1
sms/ww,2
smsmall,1
social team office,1
south cour,283
south court,103
south court aud,9
south court auditori,337
south driv,28
south drive,25
south facade,1
south gate / remotes,2
south grou,19
south grounds,86
south lawn,74051
south lawn - arrivin,2186
south lawn / ellipse,1
south lawn / ew,2
south lawn and east,2
south lawn event,4
south lawn ex-res,6
south lawn exr-res,22
south lawn skating r,3
south lawn state fl,37
south lawn state flo,16
south lawn west win,4
south lawn/res,278
south lawn/ww,3
south lot,1
south port,2
south portico,10
south portico state,13
southlawn,210
sow,120
sow 203a,6
sow 203b,3
sow 212,1
sow 2206,9
sow 2230b,2
sow 224,12
sow 226,491
sow 228,606
sow 230,42
sow 230 a,22
sow 230 b,21
sow 230-a,5
sow 230a,1220
sow 230b,462
sow 234,696
sow 234b,5
sow 236,446
sow 236b,4
sow 238,26
sow 240,6
sow 243,1
sow 276,1
sow 320b,1
sow 472,8
sow 476,20
sow eeob 230b,3
sow suite,15
sow suite 230a,28
sow suite 236,1
sow ww,4
sow-236,6
sow-a,12
sow226,27
sow228,16
sow230,18
sow230a,113
sow230b,35
sow234,28
sow236,29
sowa,13
sp-236,1
sr,4
ss 74,1
ssw 228,8
staff dining 1,6
staff dining room 1,2
stairway near room 1,36
stata plac,12
state,5
state department lib,2
state dini,53
state dining,2
state dining room,102
state dinner,2
state floo,948
state floor,3007
state floor & east w,10
state floor & ew,6
state floor - res,136
state floor enter n,11
state palc,5
state pl,4
state pl.,18
state plac,807
state place,931
state place (driver:,7
state place / east e,1
state place / upper,2
state place and west,1
state place for secu,2
state place only,1
state place parking,57
state place pick upd,1
state street parking,7
stateplace,1
staying in car - not,2
storeroom,6
storeroom/penn ave d,1
strategy & budget me,1
suite,19
suite 18 usss badge,1
suite 18 usss pass o,2
suite 3019,1
suite 5200,11
suite 5200 office 53,1
sullivans office,2
sw 230b,2
tba,50
tbc,6
tbd,598
tbd halloween tour,1
tbr,5
tech,1
tent,1386
tent / first floor,674
tent and first floor,3
tent/basement,117
tent/first floor,732
tent/first floor of,39
tent/residence,326
terry wolff,1
test,1
the mess,1
the navy mess,2
the residence east r,3
the ward room,6
the white,1
theater,2
third floor,4
top of stairs,1
tour,43
tower,7
treaty room,31
truman,2
truman alley,3
truman bow,1
truman bowling,9
truman bowling alley,161
truman bowling cente,7
tsd-pdl,1
upper east,13
upper east exec,7
upper east exec ave,4
upper east exec aven,2
upper east executive,25
upper press,82
upper press / hz's o,1
upper press 2nd floo,2
upper press ww 140,1
upper suit,2
upper suite,2
upper west drive,3
upper/lower suite,2
upstairs w,2
usds room,1
usher offi,10
usher's office,5
usher's office / roo,11
usher's office // 11,1
usher's office // ro,5
ushers,3
ushers of,78
ushers off,3
ushers office,120
ushers office / roo,20
ushers office // ro,2
ushers office pony s,12
ushers office reside,4
usss locat,2
usss pass,1
usss pass office,1
various,1
various locations,1
veranda,65
veranda pool deck ba,9
veranda pool deck fi,42
vernada,2
vice presi,4
vice presidents res,1
visitors office,5
vp,1
vp 286,10
vp ceremon,187
vp ceremonial,154
vp ceremonial office,211
vp harris office,7
vp office,66
vp office 1st floor,9
vp ww,1
vp ww offi,3
vp ww office,12
vp's cerem,4
vpo,2
vpotus cer,32
vpotus off,1
vpotus ww,3
vpr,1245
vpr 1st floor,3
vpr 1st floor & pool,1
vpr 2nd floor,3
vpr 3rd floor,6
vpr driveway,5
vpr first floor,8
vpr front lawn,23
vpr lawn,465
vpr pool,249
vpr pool deck,30
vpr posts,20
vps office,1
vps ww off,6
w 216,46
w16,1
w40,3
wa 132,1
walkthroug,4
war room,1
ward,3
ward room,188
ward ww,10
wardroom (ww),1
water filt,1
we - res,1
we navy mess,1
we-res,9
west exec,68
west exec ave,2
west exec ave - fenc,2
west exec ave.,1
west exec drive,7
west exec drop-off,2
west exec. loading d,2
west execu,22
west executive,1
west executive ave,2
west executive avenu,2
west lobby,1
west wing,74153
west wing - cos,2
west wing - jeff zie,3
west wing - nsc curt,1
west wing - west exe,4
west wing / navy mes,1
west wing / south la,2
west wing /north dri,1
west wing 1-b upper,6
west wing 121,10
west wing 132,1
west wing 18,9
west wing 221,8
west wing and diplom,15
west wing and reside,53
west wing apnsa offi,4
west wing awning,1
west wing cabinet ro,4
west wing exec,10
west wing g57,1
west wing ground flo,1
west wing lobby,10
west wing lobby and,6
west wing lobby/cabi,1
west wing lobby/roos,6
west wing lower suit,3
west wing mess,19
west wing navy mess,34
west wing north driv,2
west wing oval offi,20
west wing oval offic,13
west wing press offi,1
west wing situation,5
west wing suite,1
west wing tour,1
west wing upper suit,4
west wing wardroom,9
west wing white hou,4
west wing whsr,3
west wing whsr exec,9
west wing whsr smal,1
west wing ww situat,5
west wing/ east wing,3
west wing/ oval offi,7
west wing/res,1
west wing:,10
wh,17
wh - res,1
wh 121,1
wh 122,2
wh 129ab,1
wh 178,9
wh 25,3
wh clinic,1
wh east room,2
wh enter w,4
wh exec,1
wh g-72,4
wh holiday tour,3
wh med unit,1
wh medical,2
wh mess,77
wh mess (ww),1
wh mess/ww,1
wh navy mess,15
wh navy mess + ww g-,2
wh navy mess - west,3
wh pebble beach,2
wh pebble peach,1
wh physician office,1
wh res clinic,1
wh res eas,1
wh res east room,2
wh res south lawn,9
wh residence and sta,12
wh situation room,11
wh state f,7
wh state floor & eas,9
wh state floor and e,1
wh west wing navy me,1
wh whsr,18
wh ww lobby,5
wh ww navy mess,2
wh ww whsr exec co,4
wh-132,1
wh-res,2584
wh-res. south lawn,751
wh/eeob/neob,1
wh/ww,1
wh212,1
whit,1
white hous,32
white house,3
white house eeob ind,1
white house mess,4
white house navy mes,3
white house res phys,6
white house residenc,20
white house situatio,153
white house tour,3
white house ww whs,10
whmo,2
whmo hq,5
whmo offic,3
whmo office,7
whmo secur,8
whmo security,1
whmo security 3rd f,7
whmo security office,1
whmo south,2
whmo/flotu,2
whmu,113
whmu - 97,1
whmu 97,49
whmu clini,3
whmu clinic,9
whmu clinic / rm 94,6
whmu clinics,8
whmu eeob,2
whmu office,1
whmu residence clini,2
whmu rm 97,5
whmu room,3
whmu-92,1
whnl,31
whres,1
whsr,3014
whsr & chief of staf,2
whsr - jfk,18
whsr - wes,3
whsr breakout,2
whsr breakout room,2
whsr confe,1
whsr exec,323
whsr exec - ww,3
whsr jeh,1
whsr jfk,174
whsr jfk c,2
whsr jfk w,2
whsr jfk ww,4
whsr pending,1
whsr situation room,1
whsr small,48
whsr small conferenc,3
whsr sms,17
whsr sms large,9
whsr tbd,1
whsr ww,76
whsr- exec,3
whsr- jfk,4
whsr-exec,8
whsr-jfk,1
whsr-ww exec,16
whsr/ww,17
will not enter build,6
wshr,6
wsr exec,3
wt9,4
ww,3046
ww & resid,21
ww & rose,52
ww & south lawn,3
ww (nsa office),2
ww - 132,1
ww - 221,8
ww - 225,23
ww - apnsa,10
ww - apnsa office,9
ww - cabin,18
ww - cabinet,5
ww - cabinet room,22
ww - cabinet roon,1
ww - chief,1
ww - g74,7
ww - g75,1
ww - jfk,10
ww - jfk room,22
ww - lower press,1
ww - lowersuite,3
ww - navy,1
ww - navy mess,44
ww - navy mess dinin,1
ww - nsa sullivans,2
ww - nsas office,2
ww - oval,29
ww - oval office,33
ww - pdnsa office,1
ww - pebble beach,3
ww - press briefing,2
ww - res @ navy mess,2
ww - room 144,1
ww - roose,11
ww - roosevelt,19
ww - roosevelt room,114
ww - rr,19
ww - several offices,1
ww - sit r,2
ww - sitro,3
ww - sitroom,1
ww - situa,2
ww - situation room,10
ww - upper press,3
ww - usn mess,1
ww - vp office,8
ww - vpo,1
ww - vps office,2
ww - ward room,11
ww - white,10
ww - white house mes,3
ww - whsr,126
ww - whsr jfk,8
ww - whsr suite - jf,2
ww -- whsr,11
ww -225,1
ww / navy mess,1
ww / state,6
ww / wh mess,2
ww 1-a,3
ww 1-b,13
ww 1-c,10
ww 10 firs,1
ww 100,10
ww 101,2
ww 106,63
ww 108,11
ww 112,1
ww 113,5
ww 117,3
ww 120,45
ww 121,191
ww 122,1396
ww 123,3
ww 124,10
ww 124- co,1
ww 126,49
ww 130 b,1
ww 131,6
ww 132,985
ww 132 a,28
ww 132 ee,1
ww 140,194
ww 140 upper press,7
ww 141,7
ww 144,1
ww 145,101
ww 152,138
ww 153,74
ww 160,1
ww 18,8
ww 1st floor,20
ww 1st floor lower s,1
ww 1st floor nsa of,1
ww 2 floor,2
ww 201,1
ww 202,124
ww 203,6
ww 205,150
ww 206,139
ww 206 and oval offi,2
ww 206/20,70
ww 206/207,17
ww 206/208,47
ww 208,30
ww 208/206,1
ww 209,420
ww 210,963
ww 211,42
ww 212,233
ww 213,562
ww 214,34
ww 215,22
ww 216,2
ww 217,413
ww 217 / res blue ro,4
ww 218,12
ww 220,3
ww 221,935
ww 221 + s,3
ww 223,121
ww 224,7
ww 225,174
ww 226,1
ww 230a,4
ww 292,1
ww 2nd floor,27
ww 40,3
ww 44,1
ww 47,4
ww 48,1
ww 66,1
ww 67,14
ww 72,6
ww 74,2
ww and eeob,4
ww and ew,5
ww and exec res,12
ww and res,11
ww and state floor,3
ww apnsa office,11
ww apnsa s,5
ww apnsa's office,7
ww apnsas office,4
ww awning,2
ww brady briefing ro,36
ww briefin,55
ww briefing room,20
ww cabinet room,80
ww colonnade,3
ww cos,7
ww cos office,4
ww digital office,5
ww dining room,1
ww east r,1
ww east ro,1
ww east room,16
ww east roomn,2
ww entry,2
ww ew,5
ww ew exr,1
ww ew re,5
ww ew res,1
ww ex-res ew,2
ww exec,6
ww exec conference r,14
ww floor 2,1
ww floor1,1
ww g 37,3
ww g 50,6
ww g-37,5
ww g-58,1
ww g-72,42
ww g-72 and navy mes,1
ww g-72 and ward roo,14
ww g-72 and/or ward,6
ww g-72 and/or ww wa,4
ww g-74,184
ww g-74 nsc lower su,1
ww g-74 or whsr,9
ww g137,5
ww g37,41
ww g40,14
ww g47,337
ww g48,59
ww g49,9
ww g50,185
ww g58,1
ww g59,22
ww g62,2
ww g66,40
ww g67,2
ww g68,5
ww g68 &,4
ww g68 & e,1
ww g72,2
ww g74,120
ww g74 - lower suite,3
ww g74 lower suite,1
ww g78,1
ww gg 74,1
ww gh,1
ww ground floor,14
ww ground floor 784,1
ww hsa off,3
ww jeffs office,1
ww jfk,39
ww jfk conference ro,16
ww jfk room,8
ww lobby,1132
ww lobby &,13
ww lobby and oval of,7
ww lobby oval office,2
ww lobby/dip room,2
ww lobby/w,1
ww lower lobby,5
ww lower press,44
ww lower suite,8
ww mess,96
ww mess dining room,1
ww mess pick up,2
ww mess staff dining,1
ww navy me,3
ww navy mess,707
ww navy mess dining,52
ww nay mess,3
ww nm,1
ww north l,2
ww nsa sui,1
ww nsa sul,1
ww nsc 101,4
ww nsc sui,1
ww nsc suite,2
ww nsc upper suite,3
ww ods,4
ww onsa,2
ww oval,54
ww oval a,1
ww oval o,34
ww oval of,56
ww oval office,88
ww oval roosevelt,16
ww oval su,1
ww pdnsa office,2
ww pdnsa suite,4
ww pebble,4
ww pebble beach,75
ww photo o,1
ww post e1,10
ww press,7
ww press b,6
ww press briefing ro,60
ww press office,1
ww re-clear,2
ww res,13
ww rm 132,2
ww rm#140,1
ww rm210,1
ww room 122,1
ww room 13,1
ww room 20,1
ww rooselvelt room,21
ww roosev,21
ww rooseve,158
ww roosevelt,2
ww roosevelt room,471
ww roosevelt roomn,1
ww rose garden,3
ww rr,11
ww sit roo,1
ww sitroom,81
ww situat,8
ww situati,55
ww situation room,135
ww situation room s,1
ww small,4
ww small conference,1
ww south lawn,6
ww state p,2
ww tour,120
ww tour - correcting,1
ww tour - merge,3
ww tour reclear,10
ww upper nsc suite,1
ww upper press,27
ww upper suite,23
ww vip lob,2
ww vp,22
ww vp off,4
ww vp offi,6
ww vp office,9
ww vp office also e,7
ww vpo,1
ww vps office,1
ww ward ro,8
ww ward room,79
ww west ex,1
ww wh lobb,1
ww wh mess,5
ww white,5
ww white h,4
ww white house mess,6
ww white house messi,4
ww white house navy,1
ww white house situa,1
ww whsr,557
ww whsr breakout roo,1
ww whsr co,1
ww whsr e,44
ww whsr ex,49
ww whsr exec,55
ww whsr j,7
ww whsr jf,5
ww whsr jfk,7
ww whsr small,13
ww ww lobb,33
ww | roosevelt room,6
ww- 132,2
ww- 225,1
ww- apnsa office,2
ww- apnsa suite,4
ww- cabinet,1
ww- navy m,1
ww- navy mess,6
ww- oval o,1
ww- roosev,2
ww- staff dining roo,1
ww- white,4
ww- whsr,9
ww- whsr exec,4
ww-132,300
ww-133,2
ww-152,1
ww-16,2
ww-208,3
ww-210,6
ww-218,2
ww-74,5
ww-cabinet room,5
ww-g48,1
ww-g74,22
ww-navy mess,29
ww-nsa office,7
ww-pdnsa office,2
ww-roosevelt room,6
ww-rr,21
ww-vpotus,1
ww-ward room,5
ww-white h,2
ww-whsr,57
ww-whsr exec,12
ww/ comms room,2
ww/124,1
ww/145,8
ww/210,2
ww/212,2
ww/221,2
ww/cabinet room,1
ww/cos 122,1
ww/ew,2
ww/lobby,7
ww/navy me,2
ww/navy mess,24
ww/navy mess and eeo,2
ww/oval of,1
ww/res,1
ww/rm68,1
ww/room 132,7
ww/rooseve,5
ww/roosevelet room,8
ww/roosevelt room,4
ww/rose ga,17
ww/sit roo,1
ww/sitroom,7
ww/situati,4
ww/vp ofc,2
ww/vp office,1
ww/vp ww office,5
ww/vpo,1
ww/vpotus ofc,1
ww/vpotus office,14
ww/vpotus ww ofc,3
ww/west wing lobby,5
ww/whsr,16
ww/whsr ex,15
ww100,2
ww103,1
ww106,1
ww108,6
ww116,5
ww12-,1
ww120,230
ww121,282
ww122,98
ww124,487
ww126,10
ww130,1
ww132,121
ww140,47
ww145,91
ww152,37
ww153,247
ww18,92
ww180,8
ww1a,2
ww1b,2
ww1st floor,8
ww2,3
ww201,8
ww202,134
ww203,2
ww205,262
ww206,309
ww207,9
ww208,30
ww209,84
ww210,50
ww211,75
ww212,70
ww213,251
ww214,7
ww215,6
ww216,6
ww216/navy mess,2
ww217,32
ww218,79
ww220,3
ww221,32
ww223,19
ww225,15
ww36,2
ww37,114
ww40,1
ww48,85
ww49,5
ww66,14
ww67,3
ww68,6
ww74,1
ww76,2
ww: 108,8
ww: apnsa suite,1
ww: lobby,36
ww: oval,55
ww: oval a,11
ww: oval e,1
ww: oval o,16
ww: roosev,180
ww: west w,3
ww: whsr,2
ww: ww lob,30
ww_whsr,1
wwfl1,3
wwflr1,4
wwg37,47
wwg40,10
wwg47,28
wwg49,3
wwg50,58
wwg59,1
wwg68,1
wwg74,47
wwlobby,2
wwmess,52
wwob sow 236,2
wwsr,1
wwt,123
wwt reclear,3
wwtour,4
NA,7
