LOCATION,n
oeob|49,1
oeob|490,1212
oeob|491,26
oeob|492,17
oeob|492a,4
oeob|493,139
oeob|495,53
oeob|495a,2
oeob|496,2
oeob|497,353
oeob|498,7
oeob|498a,19
oeob|499,31
oeob|4th floor,1
oeob|5016,1
oeob|5020,1
oeob|509,2
oeob|513,4
oeob|518,18
oeob|52,16
oeob|5200,3
oeob|524,3
oeob|526,3
oeob|528,11
oeob|53,9
oeob|530,1
oeob|536,10
oeob|54,11
oeob|547,1
oeob|55,2
oeob|551,3
oeob|551b,6
oeob|552,1
oeob|553,11
oeob|553b,6
oeob|557,4
oeob|562,3
oeob|564,20
oeob|564 eeob,1
oeob|58,33
oeob|580,34
oeob|591,4
oeob|592,5
oeob|594,17
oeob|595,5
oeob|596,2
oeob|5th floor,1
oeob|5th floor hallway,2
oeob|60,3
oeob|61,12
oeob|61.5,43
oeob|62,314
oeob|6201-b,1
oeob|65,21
oeob|67,71
oeob|68,59
oeob|69,24
oeob|7,11
oeob|70,30
oeob|7013,1
oeob|71,25
oeob|712 jackson place,1
oeob|72,8
oeob|74,10
oeob|75,1
oeob|76,348
oeob|76a,8
oeob|77,23
oeob|78,14
oeob|79,161
oeob|79 & 13,1
oeob|8,2
oeob|80,110
oeob|80a,3
oeob|81,11
oeob|8236,2
oeob|85,6
oeob|86,162
oeob|87,32
oeob|88,79
oeob|89,47
oeob|90,3
oeob|91,3
oeob|92,1
oeob|93,2
oeob|94,203
oeob|95,1
oeob|96,1
oeob|97,586
oeob|97 - whmu,2
oeob|97 covid,1
oeob|97 whmu,17
oeob|NA,7
oeob|airops rm,3
oeob|all,4
oeob|badge issuance,1
oeob|badge office,2
oeob|badge room,1
oeob|badging of,1
oeob|balcon,1
oeob|basement,2
oeob|basement 062,1
oeob|basement bowling all,19
oeob|bowling,24
oeob|bowling alley,131
oeob|bowling alley - 037,22452
oeob|bowling alley reclea,1
oeob|bradford,3
oeob|cabinet affairs balc,34
oeob|cac/piv office,1
oeob|cafe,8
oeob|cafeteria,27
oeob|ceremonial,134
oeob|ceremonial office,34
oeob|clinic,1
oeob|coffeshop,1
oeob|communications room,4
oeob|conference rm 476,4
oeob|conference room,2
oeob|cordull ha,1
oeob|courtyard,1
oeob|cr omb eeo,1
oeob|ddm balcony room 26,9
oeob|dip recept,1
oeob|dip reception,24
oeob|dip reception 212,18
oeob|dip reception room,43
oeob|dip room,182
oeob|dip. reception room,23
oeob|diplomatic,183
oeob|diplomatic 210/12,2
oeob|diplomatic conferenc,11
oeob|diplomatic reception,851
oeob|diplomatic room,21
oeob|diproom or 230a,3
oeob|director's balcony,18
oeob|dr,7
oeob|driver - staying in,1
oeob|driver: drop off wes,1
oeob|drivers/ support not,30
oeob|drop at we,1
oeob|drr,18
oeob|east execu,33
oeob|east executive drive,10
oeob|east portico south d,3
oeob|eeob,88
oeob|eeob - 428,5
oeob|eeob - sms,2
oeob|eeob - sow,13
oeob|eeob - sow 226,9
oeob|eeob - sow 228,13
oeob|eeob - sow 230a,8
oeob|eeob - sow 230b,2
oeob|eeob - sow 234,1
oeob|eeob - sow 236,8
oeob|eeob 108,4
oeob|eeob 112,13
oeob|eeob 115,2
oeob|eeob 122,5
oeob|eeob 127,8
oeob|eeob 159,163
oeob|eeob 160,12
oeob|eeob 161,10
oeob|eeob 172,1
oeob|eeob 178,65
oeob|eeob 18,2
oeob|eeob 180,4
oeob|eeob 180a,26
oeob|eeob 184,3
oeob|eeob 185,1
oeob|eeob 187,1
oeob|eeob 188,3
oeob|eeob 188a,5
oeob|eeob 194,1
oeob|eeob 199,1
oeob|eeob 200,43
oeob|eeob 2010,2
oeob|eeob 210,4
oeob|eeob 210 dip recepti,21
oeob|eeob 210/2,53
oeob|eeob 210/212,79
oeob|eeob 212,149
oeob|eeob 224,3
oeob|eeob 226,24
oeob|eeob 228,36
oeob|eeob 230a,45
oeob|eeob 230b,10
oeob|eeob 234,27
oeob|eeob 236,24
oeob|eeob 238,10
oeob|eeob 250,1
oeob|eeob 252,3
oeob|eeob 264,2
oeob|eeob 268,1
oeob|eeob 274,1
oeob|eeob 276,13
oeob|eeob 291,2
oeob|eeob 302a,4
oeob|eeob 307,3
oeob|eeob 312,1
oeob|eeob 319,6
oeob|eeob 320,1
oeob|eeob 330,3
oeob|eeob 333,1
oeob|eeob 343,5
oeob|eeob 344,9
oeob|eeob 350,183
oeob|eeob 355,1
oeob|eeob 360,7
oeob|eeob 367,4
oeob|eeob 374,147
oeob|eeob 374 (sms large),4
oeob|eeob 374 whsr,1
oeob|eeob 380,1
oeob|eeob 381,2
oeob|eeob 386,1
oeob|eeob 405,1
oeob|eeob 412a,1
oeob|eeob 419,1
oeob|eeob 422,6
oeob|eeob 428,50
oeob|eeob 430,1
oeob|eeob 432,2
oeob|eeob 442,6
oeob|eeob 445,51
oeob|eeob 448,5
oeob|eeob 454,2
oeob|eeob 460,4
oeob|eeob 472,9
oeob|eeob 474,258
oeob|eeob 476,13
oeob|eeob 478,13
oeob|eeob 490,8
oeob|eeob 553,1
oeob|eeob 60,8
oeob|eeob 68,5
oeob|eeob 71,1
oeob|eeob 79,15
oeob|eeob 94,16
oeob|eeob 97,43
oeob|eeob 97 e,1
oeob|eeob bowling alley,20
oeob|eeob bowling alley -,19
oeob|eeob clini,3
oeob|eeob clinic,3
oeob|eeob conf,8
oeob|eeob director klein,2
oeob|eeob gs,1
oeob|eeob guide,1
oeob|eeob halloween,5
oeob|eeob ikes,3
oeob|eeob indian treaty r,4
oeob|eeob itr,6
oeob|eeob lunch meeting,1
oeob|eeob n. court loadin,1
oeob|eeob navy mess gift,1
oeob|eeob rm 35,8
oeob|eeob rm 68,2
oeob|eeob rm 82,2
oeob|eeob rm. 4,2
oeob|eeob room,14
oeob|eeob sca,3
oeob|eeob sms 374,1
oeob|eeob sms l,9
oeob|eeob south auditoriu,1
oeob|eeob south court aud,3
oeob|eeob sow 2,1
oeob|eeob sow 226,13
oeob|eeob sow 228,16
oeob|eeob sow 230a,18
oeob|eeob sow 230b,4
oeob|eeob sow 234,20
oeob|eeob tbc,10
oeob|eeob tour,44
oeob|eeob tour + 1,1
oeob|eeob truman bowling,4
oeob|eeob-whsr,1
oeob|eeob120,2
oeob|eeob18,1
oeob|eeob217,4
oeob|eeob230,2
oeob|eeob230b,3
oeob|eeob350,2
oeob|eeob442,1
oeob|eeob445,8
oeob|eeob478,2
oeob|eeobr 350,1
oeob|ellipse pa,1
oeob|eob 118,3
oeob|eob 159,2
oeob|eob 226,2
oeob|eob 228,2
oeob|eob 428,4
oeob|eob 476,1
oeob|eob 97,4
oeob|ew 267,2
oeob|ew whmo hq,3
oeob|ew-res,2
oeob|exec,13
oeob|first floor hallway,4
oeob|g67,5
oeob|gift shop,28
oeob|gift shop 019,4
oeob|gift store,2
oeob|ground floor,1
oeob|helpdesk,1
oeob|id section,1
oeob|ike's,17
oeob|ike's cafe,1
oeob|ike's coffee,4
oeob|ike's eatery,3
oeob|ikes,92
oeob|ikes cafe,4
oeob|ikes cafeteria,3
oeob|ikes coffee,3
oeob|ikes eate,5
oeob|ikes eater,4
oeob|ikes eatery,8
oeob|ikes eatery & neob c,1
oeob|ikes hallways pat,1
oeob|ikes table,1
oeob|ikes tables,1
oeob|ikes/eeob foyer,1
oeob|ike’s,1
oeob|ilc eatery,1
oeob|india treaty room,21
oeob|indian tre,100
oeob|indian treat room,2
oeob|indian treaty,82
oeob|indian treaty rm,63
oeob|indian treaty room,2470
oeob|indian treaty room #,4
oeob|indian treaty room 4,140
oeob|indiantreaty,9
oeob|ironsides room,3
oeob|irt,21
oeob|it office,1
oeob|itr,3404
oeob|itr 474,396
oeob|itr indian treaty ro,21
oeob|itr rm 474,158
oeob|jfkwhsr,16
oeob|jp,2
oeob|jp 1st floor,3
oeob|jp-734,1
oeob|jp734,8
oeob|library,27
oeob|loading dock equipm,2
oeob|lobby,1
oeob|lower east,3
oeob|main telephone room,2
oeob|mechanical rooms,3
oeob|medical un,2
oeob|medical unit,1
oeob|medunit 97,1
oeob|meet at 321,1
oeob|mess lunch,9
oeob|n court,5
oeob|n. court,2
oeob|n/a,5
oeob|n/a general architec,3
oeob|navy mess,19
oeob|navy steps,24
oeob|nc and sc chiller pl,13
oeob|neob parking garage,2
oeob|north and,2
oeob|north court,12
oeob|north driv,28
oeob|north drive,4
oeob|north drive and west,2
oeob|north grou,3
oeob|nsao,3
oeob|o-15,9
oeob|o-19,4
oeob|o-21,39
oeob|o18,15
oeob|o19,17
oeob|o20,3
oeob|o21,41
oeob|o62,1
oeob|o89,6
oeob|o8b,3
oeob|office of,1
oeob|old iron s,5
oeob|omb balcony,6
oeob|omb directors office,6
oeob|ostp,1
oeob|outdoor tables,1
oeob|ovp ceremonial,4
oeob|ovp ceremonial offic,6
oeob|park on state place,2
oeob|parking,9
oeob|parking drop off,16
oeob|parking on,2
oeob|parking on state pla,1
oeob|pass &id,1
oeob|pass and i'd,1
oeob|pass and id,1
oeob|pass offic,14
oeob|pass office,12
oeob|pass office 17,1
oeob|pass office 18,2
oeob|pass office room 18,2
oeob|pass/id office,1
oeob|pending,5
oeob|penn ave,2
oeob|penn ave/south drive,6
oeob|pennsylvania avenue,9
oeob|personnel security,1
oeob|pfs,4
oeob|picnic tab,1
oeob|picnic tables,24
oeob|piv office,1
oeob|r019,3
oeob|r94,8
oeob|res,9
oeob|res clinic,10
oeob|res sdr,13
oeob|res south,53
oeob|restroom,1
oeob|rm 014 sc,4
oeob|rm 111,2
oeob|rm 157,1
oeob|rm 159,287
oeob|rm 160,42
oeob|rm 161,1
oeob|rm 170,2
oeob|rm 171,2
oeob|rm 178,1
oeob|rm 18,12
oeob|rm 18 pas,1
oeob|rm 180,6
oeob|rm 189,1
oeob|rm 210 dip,7
oeob|rm 210/212,20
oeob|rm 226,4
oeob|rm 230a,2
oeob|rm 230b,1
oeob|rm 25,8
oeob|rm 27,2
oeob|rm 274,3
oeob|rm 276,1
oeob|rm 326,2
oeob|rm 350,23
oeob|rm 373 sms large,15
oeob|rm 374 whsr sms,8
oeob|rm 42 - ts,2
oeob|rm 441,1
oeob|rm 445,2
oeob|rm 472,11
oeob|rm 474,14
oeob|rm 491,1
oeob|rm 51,2
oeob|rm 522,1
oeob|rm 62,2
oeob|rm 65,8
oeob|rm 76,1
oeob|rm 76 a,1
oeob|rm 80,2
oeob|rm 94,3
oeob|rm 97,17
oeob|rm#18,1
oeob|rm. 178,4
oeob|rm. 298,1
oeob|rm. 326,12
oeob|rm. 374,2
oeob|rm/210/212,3
oeob|rm014,4
oeob|rm08b,4
oeob|rm159,1
oeob|rm18,3
oeob|rm430,7
oeob|rm51,2
oeob|rm68,8
oeob|rm87,1
oeob|roof,4
oeob|room	diplomatic rece,28
oeob|room #1,1
oeob|room 089,4
oeob|room 1,15
oeob|room 100 balcony,8
oeob|room 12,3
oeob|room 145,1
oeob|room 15,1
oeob|room 157,3
oeob|room 159,1
oeob|room 160,1
oeob|room 18,39
oeob|room 19,2
oeob|room 200,8
oeob|room 21,1
oeob|room 226,2
oeob|room 230,4
oeob|room 230b,2
oeob|room 267,1
oeob|room 272,9
oeob|room 300,1
oeob|room 347 sms large,4
oeob|room 350,3
oeob|room 353,1
oeob|room 374 sms large,2
oeob|room 445,2
oeob|room 448,7
oeob|room 450,9
oeob|room 450 b,3
oeob|room 460,12
oeob|room 47,2
oeob|room 472,8
oeob|room 474,10
oeob|room 476,17
oeob|room 497,1
oeob|room 60,5
oeob|room 68,1
oeob|room 69,1
oeob|room 70,1
oeob|room 74,1
oeob|room 81,4
oeob|room 9,2
oeob|room 91,1
oeob|room 94,16
oeob|room 97,10
oeob|room one,2
oeob|room sow 228,1
oeob|roosevelt room tbc,7
oeob|s0w236,34
oeob|sca,293
oeob|sca rm014,2
oeob|secret service stati,2
oeob|secretary,9
oeob|secretary of war,3
oeob|secretary of war roo,2
oeob|secretary of war sui,31
oeob|secretory of war,2
oeob|secure media suite,18
oeob|sma large,3
oeob|sms,1599
oeob|sms 374,51
oeob|sms 376,1
oeob|sms breakout room,1
oeob|sms conference room,1
oeob|sms exec,832
oeob|sms exec (374),5
oeob|sms exec (rm 374),4
oeob|sms exec / rm 374,22
oeob|sms exec 374,35
oeob|sms exec 3rd fl,2
oeob|sms exec 3rd floor,2
oeob|sms exec c,2
oeob|sms exec eeob 375,11
oeob|sms exec rm 374,2
oeob|sms exec/3,3
oeob|sms executive confer,7
oeob|sms large,1441
oeob|sms large 374,9
oeob|sms large 376,9
oeob|sms large conference,7
oeob|sms large room 374,2
oeob|sms lg,1
oeob|sms rm 374,1
oeob|sms rm. 374,16
oeob|sms rm. 374 or rm.,2
oeob|sms room #374,3
oeob|sms room 374,3
oeob|sms rooms,6
oeob|sms small,237
oeob|sms small conference,4
oeob|sms suite,1
oeob|sms tbc,6
oeob|sms-374,10
oeob|sms-exec,20
oeob|sms-large,9
oeob|sms-small,5
oeob|sms/374,1
oeob|sms/390,1
oeob|smsmall,1
oeob|south cour,278
oeob|south court,103
oeob|south court aud,9
oeob|south court auditori,302
oeob|south driv,18
oeob|south drive,9
oeob|south facade,1
oeob|south grou,5
oeob|south port,2
oeob|sow,120
oeob|sow 203a,6
oeob|sow 203b,3
oeob|sow 212,1
oeob|sow 2206,9
oeob|sow 2230b,2
oeob|sow 224,12
oeob|sow 226,485
oeob|sow 228,606
oeob|sow 230,42
oeob|sow 230 a,22
oeob|sow 230 b,21
oeob|sow 230-a,5
oeob|sow 230a,1220
oeob|sow 230b,462
oeob|sow 234,696
oeob|sow 234b,5
oeob|sow 236,446
oeob|sow 236b,4
oeob|sow 238,26
oeob|sow 240,6
oeob|sow 243,1
oeob|sow 276,1
oeob|sow 320b,1
oeob|sow 472,8
oeob|sow 476,20
oeob|sow eeob 230b,3
oeob|sow suite,15
oeob|sow suite 230a,28
oeob|sow suite 236,1
oeob|sow-236,6
oeob|sow-a,12
oeob|sow226,27
oeob|sow228,16
oeob|sow230,18
oeob|sow230a,113
oeob|sow230b,35
oeob|sow234,28
oeob|sow236,29
oeob|sowa,13
oeob|ssw 228,8
oeob|staff dining room 1,1
oeob|stairway near room 1,36
oeob|stata plac,12
oeob|state,2
oeob|state department lib,2
oeob|state palc,5
oeob|state pl,4
oeob|state plac,719
oeob|state place,841
oeob|state place (driver:,7
oeob|state place and west,1
oeob|state place for secu,2
oeob|state place only,1
oeob|state place parking,54
oeob|state place pick upd,1
oeob|state street parking,7
oeob|staying in car - not,2
oeob|suite 18 usss badge,1
oeob|suite 18 usss pass o,2
oeob|sw 230b,2
oeob|tba,50
oeob|tbc,6
oeob|tbd,590
oeob|tbd halloween tour,1
oeob|tbr,5
oeob|tech,1
oeob|terry wolff,1
oeob|top of stairs,1
oeob|tour,20
oeob|treaty room,31
oeob|truman,2
oeob|truman alley,3
oeob|truman bow,1
oeob|truman bowling,9
oeob|truman bowling alley,161
oeob|truman bowling cente,7
oeob|tsd-pdl,1
oeob|upper east,1
oeob|usss pass,1
oeob|usss pass office,1
oeob|vice presi,4
oeob|vp 286,10
oeob|vp ceremon,172
oeob|vp ceremonial,154
oeob|vp ceremonial office,211
oeob|vp office,11
oeob|vpotus cer,32
oeob|war room,1
oeob|ward room,4
oeob|west exec,44
oeob|west exec ave.,1
oeob|west exec drop-off,2
oeob|west exec. loading d,2
oeob|west execu,22
oeob|west executive,1
oeob|west executive avenu,1
oeob|west wing,3
oeob|wh,1
oeob|wh 178,9
oeob|wh clinic,1
oeob|wh med unit,1
oeob|wh medical,2
oeob|wh navy mess,1
oeob|wh-res,9
oeob|whit,1
oeob|white hous,1
oeob|white house eeob ind,1
oeob|whmu,109
oeob|whmu - 97,1
oeob|whmu 97,44
oeob|whmu clini,3
oeob|whmu clinic,2
oeob|whmu office,1
oeob|whmu rm 97,5
oeob|whmu room,3
oeob|whmu-92,1
oeob|whsr,76
oeob|whsr exec,31
oeob|whsr jfk,1
oeob|whsr pending,1
oeob|whsr sms,16
oeob|whsr sms large,9
oeob|whsr tbd,1
oeob|will not enter build,6
oeob|ww,17
oeob|ww 132,1
oeob|ww 132 a,1
oeob|ww 140,5
oeob|ww 210,2
oeob|ww 212,2
oeob|ww 213,10
oeob|ww 225,1
oeob|ww 230a,4
oeob|ww navy mess,1
oeob|ww pebble beach,10
oeob|ww roosevelt room,1
oeob|ww small,2
oeob|ww132,1
oeob|ww210,1
oeob|ww223,1
oeob|wwob sow 236,2
vpr|1,26
vpr|101,2
vpr|16,1
vpr|19,1
vpr|1st floor,22
vpr|1st floor of residen,29
vpr|1st floor vpr,1587
vpr|1st floor vpr/poolsi,6089
vpr|1st floor/basement,29
vpr|1st floor/front lawn,2
vpr|1st floor/holiday te,27
vpr|1st floor/pool deck,2
vpr|1st floor/poolside v,14
vpr|1st floor/tent,2
vpr|201/bldg 19,1
vpr|211,5
vpr|25,167
vpr|3,1
vpr|b01,2
vpr|b19,4
vpr|b25,389
vpr|back door,1
vpr|basement,258
vpr|basement and first f,54
vpr|basement and poolsid,35
vpr|basement first floor,46
vpr|basement/ 1st floor,4
vpr|basement/1,19
vpr|basement/1st floor,73
vpr|basement/2,1
vpr|basement/first floor,41
vpr|basement/front lawn,2
vpr|basement/holiday ten,41
vpr|basement/p,6
vpr|basement/pool deck,30
vpr|basement/vpro office,1
vpr|bldg 16,2
vpr|bldg 19,18
vpr|bldg 19 201,16
vpr|bldg 19 parking lot,1
vpr|bldg 91,4
vpr|bldg. 19,3
vpr|british em,1
vpr|building 1,39
vpr|building 16,8
vpr|building 19,23
vpr|building 5,1
vpr|building 9,1
vpr|building 91,3
vpr|building 91 & reside,4
vpr|d section,1
vpr|dining room,1
vpr|driver drop-off,1
vpr|driveway,6
vpr|drop off at p1,5
vpr|drop off at post 1,8
vpr|drop off by p1,2
vpr|east garag,2
vpr|event,4
vpr|first,7
vpr|first floo,6
vpr|first floor,1873
vpr|first floor + tent,120
vpr|first floor / baseme,95
vpr|first floor / front,9
vpr|first floor / pool s,1
vpr|first floor / poolsi,15
vpr|first floor / tent,525
vpr|first floor and base,71
vpr|first floor and kitc,13
vpr|first floor and outs,5
vpr|first floor and pool,187
vpr|first floor and tent,12
vpr|first floor and thir,1
vpr|first floor library,4
vpr|first floor vp resid,1
vpr|first floor vpr,31
vpr|first floor/basement,169
vpr|first floor/pool dec,22
vpr|first floor/pool sid,3
vpr|first floor/poolside,29
vpr|fist floor,5
vpr|front lawn,209
vpr|front lawn / side la,15
vpr|front lawn / tent,187
vpr|front lawn vpr,7
vpr|front lawn/residence,1
vpr|front lawn/tent,110
vpr|front of residence,43
vpr|front of residence a,2
vpr|front of vpr,3
vpr|front/pool area,7
vpr|full residence,1
vpr|gilliss ave,6
vpr|gilliss ave.,173
vpr|gilliss ave. / post,20
vpr|gilliss ave/p1,1
vpr|gilliss avenue,1
vpr|grounds,1
vpr|grounds an,3
vpr|grounds and motorcad,1
vpr|gym attic,1
vpr|holiday tent,49
vpr|house,11
vpr|iap,5
vpr|inside post 1 / pool,2
vpr|inside post 1/poolsi,3
vpr|kitchen and first fl,10
vpr|lawn,167
vpr|library,1
vpr|loading zone,2
vpr|main gate,4
vpr|navy side and post 7,4
vpr|nea interview appoin,1
vpr|outside of p1,2
vpr|outside of residence,2
vpr|outside of the resid,9
vpr|p1,3
vpr|pool,3
vpr|pool area,4
vpr|pool deck,22
vpr|pool deck/basement,9
vpr|pool house,17
vpr|pool side,16
vpr|pool side/first floo,94
vpr|pool/basem,2
vpr|pool/first floor,4
vpr|poolside,565
vpr|poolside and first f,11
vpr|poolside veranda,2
vpr|poolside/basement,39
vpr|poolside/first floor,2
vpr|portico poolside fir,44
vpr|post 1,390
vpr|post 1 / tent,42
vpr|post 1/pool side,21
vpr|post 14,2
vpr|post 5,113
vpr|post 5 / front lawn,12
vpr|post 5 first floor o,18
vpr|pull through post 1,257
vpr|pull through post 5,113
vpr|quarters a,15
vpr|res,2
vpr|residence,818
vpr|residence and tent,3
vpr|residence grounds,2
vpr|residence/building 1,3
vpr|residence/tent,456
vpr|residence/tower,4
vpr|residnce,4
vpr|side lawn,19
vpr|side lawn/tent,446
vpr|social team office,1
vpr|south gate / remotes,2
vpr|south lot,1
vpr|tbd,1
vpr|tent,1386
vpr|tent / first floor,674
vpr|tent and first floor,3
vpr|tent/basement,117
vpr|tent/first floor,732
vpr|tent/first floor of,39
vpr|tent/residence,326
vpr|third floor,4
vpr|tower,7
vpr|veranda,65
vpr|veranda pool deck ba,9
vpr|veranda pool deck fi,42
vpr|vernada,2
vpr|vice presidents res,1
vpr|vpr,1245
vpr|vpr 1st floor,3
vpr|vpr 1st floor & pool,1
vpr|vpr 2nd floor,3
vpr|vpr 3rd floor,6
vpr|vpr driveway,5
vpr|vpr first floor,8
vpr|vpr front lawn,23
vpr|vpr lawn,465
vpr|vpr pool,249
vpr|vpr pool deck,30
vpr|vpr posts,20
vpr|water filt,1
wh|1,42
wh|1-a,1
wh|100,16
wh|100 res,1
wh|102,2
wh|106,14
wh|108,2
wh|109,27
wh|110,5
wh|112,3
wh|114,2
wh|115 / usher's office,13
wh|118,1
wh|12,1
wh|120,10
wh|120 and ma,2
wh|121,11
wh|122,47
wh|124,15
wh|124 vps office,3
wh|126,10
wh|129ab,1
wh|130,3
wh|132,89
wh|132 a,9
wh|132 ww,4
wh|132a,2
wh|13a,3
wh|140,61
wh|140 / pres,2
wh|141,5
wh|142,2
wh|143,28
wh|144,1
wh|145,13
wh|148,1
wh|152,7
wh|153,12
wh|159,1
wh|16,1
wh|161,1
wh|17,1
wh|173,3
wh|174,1
wh|176,1
wh|178,9
wh|17th & pen,2
wh|17th/penn,2
wh|18,8
wh|18 ww,3
wh|180,9
wh|182,4
wh|18ww,64
wh|19-jan,1
wh|190,1
wh|192,1
wh|1st floor,2
wh|1st floor navy mess,1
wh|1st floor ww - nsa s,4
wh|20,2
wh|20-jan,1
wh|200,5
wh|201,1
wh|202,25
wh|203 east wing,1
wh|205,53
wh|206,30
wh|207,1
wh|208,32
wh|208 - east wing,4
wh|208 east wing,48
wh|208 ew,9
wh|209,19
wh|210,135
wh|211,11
wh|211 ew,8
wh|212,44
wh|213,28
wh|214,23
wh|215,6
wh|216,18
wh|217,78
wh|217 ww,1
wh|218,7
wh|219 ww,2
wh|221,96
wh|221 ww,1
wh|223,13
wh|224,4
wh|225,6
wh|230,15
wh|230b,9
wh|233,1
wh|276,1
wh|286,2
wh|288,1
wh|2nd,3
wh|2nd floor,17
wh|302a,5
wh|318,3
wh|326,2
wh|351,6
wh|374,2
wh|381,3
wh|387,1
wh|3rd floor,1
wh|40,6
wh|44,1
wh|445,2
wh|45,1
wh|47,3
wh|474,3
wh|48,3
wh|50,1
wh|514,1
wh|580,7
wh|66,1
wh|67,7
wh|68,4
wh|71,1
wh|72,4
wh|76,1
wh|79,1
wh|8,3
wh|9-jan,4
wh|94,3
wh|a1,1
wh|amb rices office,2
wh|aphsa office,1
wh|aphsas office,4
wh|apnsa,13
wh|apnsa finer's office,1
wh|apnsa offi,5
wh|apnsa office,72
wh|apnsa suit,16
wh|apnsa sullivan suite,4
wh|apnsa's office,4
wh|apnsas office,12
wh|b-27 res,3
wh|bh,1
wh|blair hous,1
wh|blue room,14
wh|bookseller,1
wh|booksellers,1
wh|br,23
wh|brian deeses office,1
wh|briefing,1
wh|briefing r,74
wh|briefing room,243
wh|brs office,1
wh|bruce reeds office,1
wh|cabinet,4
wh|cabinet ro,4
wh|cabinet rom,2
wh|cabinet room,79
wh|cabinet room - ww,20
wh|chief ushe,4
wh|china room,2
wh|cos,2
wh|curator st,4
wh|dip reception room a,47
wh|dip reception room r,7
wh|diplomatic,9
wh|diplomatic reception,45
wh|diplomatic room,12
wh|director brainard of,4
wh|doctors office res,2
wh|e street,1
wh|e102,1
wh|e102 ew,8
wh|e2026,54
wh|east,6
wh|east ballr,14
wh|east ballroom,10
wh|east exec,62
wh|east exec ave,1
wh|east exec ave - outs,4
wh|east exec drive,1
wh|east exec drop of,2
wh|east exec drop off,3
wh|east exec parking,11
wh|east exec. ave,1
wh|east execu,18
wh|east executive,3
wh|east executive ave,1
wh|east executive avenu,36
wh|east executive drive,2
wh|east lobby,1
wh|east recep,27
wh|east reception,37
wh|east reception - exr,19
wh|east reception / sou,2
wh|east reception room,78
wh|east room,5791
wh|east room (residence,28
wh|east room residence,4
wh|east room-,3
wh|east room-res,17
wh|east room-residence,1
wh|east room/res,1
wh|east tradesman resid,1
wh|east tradesman/c3 ha,1
wh|east wing,427
wh|east wing & eeob mee,2
wh|east wing & state fl,3
wh|east wing - 208,1
wh|east wing - east rec,10
wh|east wing - flotus o,1
wh|east wing - res,28
wh|east wing - residenc,2
wh|east wing -res,5
wh|east wing 102,4
wh|east wing 208,5
wh|east wing 216,7
wh|east wing 218,1
wh|east wing 222cd and,18
wh|east wing 223,2
wh|east wing 226 / dipl,1
wh|east wing 2nd floor,2
wh|east wing and eeob,8
wh|east wing and north,6
wh|east wing and south,10
wh|east wing and state,8
wh|east wing and west w,1
wh|east wing east recep,1
wh|east wing exr and w,19
wh|east wing lobby,12
wh|east wing parking,2
wh|east wing reception,4
wh|east wing res,2
wh|east wing rm 216,6
wh|east wing rm 6,2
wh|east wing room 206,10
wh|east wing room 208,8
wh|east wing state flo,8
wh|east wing tour,2
wh|east wing tour route,1
wh|east wing whmo,3
wh|east wing whmo 216 &,2
wh|east wing-,10
wh|east wing- res,6
wh|east wing/ residence,8
wh|east wing/ state flo,71
wh|east wing/state floo,1
wh|eastwing-res,4
wh|ebr,5
wh|ed206,12
wh|ee,1
wh|eeob,20
wh|eeob 097,1
wh|eeob 102,2
wh|eeob 115,2
wh|eeob 148,1
wh|eeob 160a,23
wh|eeob 178,1
wh|eeob 180a,4
wh|eeob 350,4
wh|eeob 353,2
wh|eeob 374,6
wh|eeob 428,3
wh|eeob 445,1
wh|eeob 474,14
wh|eeob 71,1
wh|eeob 97,23
wh|eeob 97 th,1
wh|eeob bowling,3
wh|eeob bowling alley -,5
wh|eeob clini,22
wh|eeob clinic rm 97,4
wh|eeob medun,1
wh|eeob navy steps/sout,37
wh|eeob whmu,4
wh|eeob/ew,5
wh|eeob/southlawn,1
wh|eeob18,1
wh|eew 216,4
wh|electric s,2
wh|electric shop,10
wh|ellipse,1076
wh|enter ww,9
wh|er,7
wh|err,1
wh|et4,1
wh|ew,2333
wh|ew & east room,11
wh|ew & pfs,2
wh|ew & res,5
wh|ew & south,26
wh|ew & south lawn,1
wh|ew & state floor,36
wh|ew (navy mess),1
wh|ew - 107,1
wh|ew - 208,6
wh|ew - blue room,12
wh|ew - east,11
wh|ew - east reception,29
wh|ew - julis,1
wh|ew - map room,5
wh|ew - reception,8
wh|ew - res,56737
wh|ew - res - ww,2
wh|ew - rm 208,1
wh|ew - sdr,3
wh|ew - south lawn,10
wh|ew - south lawn / ea,2
wh|ew - state,4
wh|ew - state dining ro,8
wh|ew - state floor,50
wh|ew - state room,9
wh|ew - tour,1
wh|ew - visit,3
wh|ew - wh,1
wh|ew -east r,3
wh|ew -res,1
wh|ew / res,8
wh|ew / ww tour,9
wh|ew 1-16,4
wh|ew 1-19,22
wh|ew 1-8,2
wh|ew 100,1
wh|ew 102,5
wh|ew 105,1
wh|ew 106,7
wh|ew 107 and,1
wh|ew 108,6
wh|ew 109,5
wh|ew 112,1
wh|ew 118,9
wh|ew 119,1
wh|ew 121,16
wh|ew 125,2
wh|ew 127,1
wh|ew 129,9
wh|ew 129 ab,2
wh|ew 129ab,1
wh|ew 13-800,1
wh|ew 130,3
wh|ew 131,1
wh|ew 132,11
wh|ew 133,16
wh|ew 2-5,19
wh|ew 200,7
wh|ew 201,7
wh|ew 202,3
wh|ew 204,14
wh|ew 204/sou,1
