"Description","Count"
"group tourchanged from 0900 to 1030",272
"group tour time change from 1330 to 0700 per chelsea",272
"eop 7 open house",272
"drivers",272
"open house vo",271
"group tourmoved from 12/21 to 12/22 @ 1700 hrs",271
"group tourchanged from 10/10 @ 1100 to 10/11 @ 0700 hrs",271
"ew tour must enter through sherman park reclear dob",271
"group tour....open house",270
"group tour date/time change from 4/11 @ 1130 to 4/10 @ 1230 per chelsea",270
"eop 2 open house",270
"service hq",269
"eop 12",269
"open house ud 1",268
"max",268
"group tourmoved from 0930 to 1230 per eddie",268
"group tour 419583 (group tour) per requestor",268
"group tour/ date changed per chelsea bollinger",267
"eop 21",267
"3pm - open house",267
"group tourchanged from 1400 to 1500",266
"group tour/time/date change per req",266
"commander-in-chief's trophy",266
"group tour time change per requestor",265
"430pm - open house",265
"dip corp 1 open house",264
"group tour-time change from 0930 to 1030 per ethan",263
"open house ud",262
"iga",262
"group tour request appt 385922",262
"marine one landing",261
"group tour date/time change from 4/11 @ 1100 to 4/10 @ 1200 per chelsea",261
"eop 3",261
"eop 2",261
"ope10",260
"guest list for the medal of honor ceremony",260
"bowling alley reservation",260
"9.30 am group tour",260
"ope9",259
"group tourtime change from 1100 to 1330 hrs",259
"group tour date/time change from 4/11 @ 1230 to 4/10 @ 1330 per chelsea",258
"eop 20",258
"audience for sports team",258
"appointment for part time employees of the executive residence and guests",258
"9am - group tours",258
"ew tour must enter through sherman park/time change per collin burton",257
"event guest list",257
"2.30pm - open house",257
"time change made at the request of the requestor",256
"jewish american heritage month recep",256
"eop 4",256
"eop 10",256
"whmo 1 open house",255
"please clear these sba workers and their families as an appointment. happy holidays daniel shanks",254
"eop 13",253
"usss 1 open house",252
"time change per k. lierman",251
"guest list for east room event",251
"group tourchanged time from 1030 to 0730 per will",251
"eop 14",251
"dip corp 2 open house",251
"jewish outreach meeting",250
"in good weather the event may be on the south lawn",250
"guest list for medal of honor ceremony",250
"eop 6 open house date changed per requestor",250
"children's miracle network photo on south protico",250
"whmo5",249
"the event is to take place in the east room with guests entering from se entrance located at 15th and hamilton",248
"this will be a breakout of the forum. the event will take place in indian treaty room and 430 a/b/c",247
"ope 1",247
"eop 17",247
"breakouts for the forum. will take place in 430 a/b/c and indian treaty room",247
"guest list for medal of honor event",246
"4pm - open house",246
"marine one arrival",245
"group tour/updated time per requestor",245
"whmo 6",244
"guest list for a medal of honor ceremony hosted by potus",244
"members of the air force academy football team and guests for the event",242
"eop 15",242
"they will enter through the southeast gate",241
"summer press picnic",241
"health meeting",241
"farewell reception",241
"eop 7",241
"cesar chavez event",241
"merged w/u40406",240
"eop 5",239
"eop 11",239
"asian american heritage month reception",239
"630pm - open house",239
"1.30pm - open house",239
"st. patrick's day breakfast",238
"group tourmoved from 1730 to 1700 per ethan",238
"merged w/u40373",237
"interfaith and community service campus challenge",237
"guests for the rfk human rights award",237
"group tour/requestor/person to be visited changed per will jennings",237
"group tour add to u#u91696",237
"date changed per requestor",237
"in the rose garden (or the east room in the event of rain)",236
"chiefs of missions reception",236
"730am - group tour",236
"regular appointment",235
"eop 8",235
"eop 19",235
"open house/",234
"group tourchanged from 1/12 to 1/16",234
"china state dinner",234
"1030am - group tour",233
"vip tour",232
"rain plan is the east room",232
"eop 16",232
"the event is on the state floor. per requestor lauren kelly can add to this appt",231
"summer 2016 who interns eeob",231
"rain location is the east room",230
"mark twain prize brunch",230
"broadway music event",230
"classical music evening reception",229
"btw1 (nps)",229
"audience members for potus aca event in the rose garden. will need to enter from se gate",229
"teacher of the year reception",228
"teacher of the year awards",228
"please clear this list for noon 2 pm and 4pm tomorrow. duplicate appt",228
"state dinner",227
"please add ximena gonzalez and francesca covey to the u#. thanks!",227
"2pm group tour",227
"the event begins with a screening in the sca then all guests are escorted to the state floor for a panel discussion that includes flotus",226
"swearing in ceremony",226
"group tour peter blaes requested the time of this appt to 930am",226
"guests for moh ceremony",225
"white house forum on environmental justice. large event",224
"1130am group tours",224
"potus reception with mayors",223
"group tour/ time change corrected per matthew megan",223
"ew tour must enter through sherman park name reclears",223
"1230pm - open house",223
"1:30pm group tours",223
"african american leadership briefing",221
"time change per jordan brooks",220
"motown event",220
"large event with potus and community leaders",220
"cbcf afam leadership white house briefing",220
"guests will be arriving to the se gate",219
"530pm - open house",219
"library of congress gershwin award",217
"eop 6",217
"susan g. komen race for the cure reception",216
"stem education event",215
"group tourchanged from eddie to ethan per eddiechanged from 1030 to 1300 per ethan",215
"1230pm - open ho",215
"called to change time from 0700hrs to 0830hrs dk 04/01/12 1426hrs",214
"time changed per requester",213
"sba reception on the state floor",212
"requestor called to change time from 1600hrs to 1630hrs dk 02/29/12 0948hrs",212
"mbrs",212
"group tourchanged from eddie to ethan per eddiechanged from 1100 to 1330 per ethan",212
"access list for hmx arrivals/departures",212
"medal of freedom ceremony",211
"time changed from 0915 to 0845 per kyle",210
"army honor guard members",210
"medal of science and technology honor awards",209
"group tourtime change per passholder",209
"young elected leaders forum",208
"potus message",208
"group tour (moved from 0930 to 1300 per kate youngkjb)",208
"congressional reception",208
"time change at the request of the requestor kdc 6/20 @ 19:41",207
"large verterans day breakfast",207
"military honor guard personnel for the ambassador credentialing arrival ceremony",206
"breakfast",206
"nea/neh awards",205
"women briefing",204
"wh forum on env justice-large list-all day",204
"date and time changed per requestor",204
"business outreach meeting",204
"veteran's day lunch",203
"ride 2 recovery kick-off event",203
"group tourchanged from will to eddie per will",203
