"APPT_END_DATE","Count"
"2014-06-06 23:59:00",4053
"2014-04-12 23:59:00",4053
"2012-02-18 23:59:00",4052
"2012-05-30 23:59:00",4050
"2012-08-08 23:59:00",4049
"2014-06-07 23:59:00",4048
"2011-06-18 23:59:00",4044
"2015-03-14 23:59:00",4042
"2012-09-25 23:59:00",4041
"2012-11-30 23:59:00",4040
"2009-11-12 23:59:00",4040
"2012-05-23 23:59:00",4039
"2010-05-07 23:59:00",4039
"2012-04-07 23:59:00",4038
"2015-07-18 23:59:00",4037
"2012-03-20 23:59:00",4036
"2012-03-10 23:59:00",4032
"2014-08-29 23:59:00",4031
"2014-03-15 23:59:00",4027
"2015-03-25 23:59:00",4025
"2016-03-12 23:59:00",4024
"2012-05-25 23:59:00",4024
"2015-06-23 23:59:00",4023
"2014-05-24 23:59:00",4021
"2014-07-22 23:59:00",4015
"2015-06-27 23:59:00",4014
"2015-04-08 23:59:00",4011
"2010-10-06 23:59:00",4009
"2015-04-18 23:59:00",4004
"2011-10-28 23:59:00",4002
"2016-05-28 23:59:00",3994
"2012-03-24 23:59:00",3993
"2015-08-08 23:59:00",3992
"2010-06-25 23:59:00",3991
"2014-10-04 23:59:00",3990
"2010-02-13 23:59:00",3990
"2015-04-21 23:59:00",3989
"2010-08-26 23:59:00",3987
"2016-02-12 23:59:00",3986
"2016-07-02 23:59:00",3985
"2011-03-09 23:59:00",3985
"2015-05-02 23:59:00",3984
"2014-03-08 23:59:00",3984
"2016-09-17 23:59:00",3983
"2016-05-20 23:59:00",3983
"2014-07-29 23:59:00",3982
"2012-05-26 23:59:00",3981
"2012-07-21 23:59:00",3979
"2011-04-15 23:59:00",3979
"2012-05-22 23:59:00",3978
"2016-06-18 23:59:00",3976
"2014-08-22 23:59:00",3976
"2013-03-07 23:59:00",3976
"2011-06-04 23:59:00",3976
"2011-04-20 23:59:00",3974
"2015-10-10 23:59:00",3970
"2010-04-06 23:59:00",3970
"2016-08-27 23:59:00",3969
"2016-03-04 23:59:00",3960
"2011-11-19 23:59:00",3960
"2014-12-19 23:59:00",3959
"2011-05-27 23:59:00",3957
"2013-12-09 23:59:00",3953
"2011-10-21 23:59:00",3951
"2015-05-05 23:59:00",3949
"2013-12-17 23:59:00",3948
"2014-07-26 23:59:00",3942
