"UIN","Count"
"u86403",390
"u76590",390
"u68852",390
"u61448",390
"u54150",390
"u54147",390
"u48912",390
"u18379",390
"u09591",390
"u06670",390
"u00017",390
"u97984",389
"u95993",389
"u91540",389
"u87235",389
"u86415",389
"u85398",389
"u74924",389
"u70062",389
"u61804",389
"u61437",389
"u61380",389
"u49672",389
"u48147",389
"u47771",389
"u33959",389
"u28895",389
"u22216",389
"u17802",389
"u15055",389
"u99405",388
"u82281",388
"u72515",388
"u71513",388
"u70334",388
"u63120",388
"u49755",388
"u40040",388
"u30325",388
"u27710",388
"u26640",388
"u24335",388
"u19301",388
"u07503",388
"u96347",387
"u96288",387
"u92776",387
"u90140",387
"u86394",387
"u73678",387
"u51525",387
"u48934",387
"u46643",387
"u44758",387
"u43473",387
"u29849",387
"u27064",387
"u22233",387
"u11510",387
"u11471",387
"u11199",387
"u10712",387
"u01094",387
"u91212",386
"u90455",386
"u70270",386
"u68554",386
"u66909",386
"u63138",386
"u53480",386
"u53350",386
"u47540",386
"u46520",386
"u21695",386
"u18227",386
"u14271",386
"u98737",385
"u84902",385
"u81061",385
"u72189",385
"u62395",385
"u55922",385
"u44690",385
"u40143",385
"u27810",385
"u13838",385
"u10698",385
"u08481",385
"u02529",385
"u86956",384
"u70074",384
"u68560",384
"u64482",384
"u64473",384
"u56306",384
"u52775",384
"u48810",384
"u46458",384
"u44775",384
"u25529",384
"u16953",384
"u04835",384
"u04725",384
"u85388",383
"u69544",383
"u69050",383
"u68605",383
"u58365",383
"u57299",383
"u49034",383
"u48713",383
"u45886",383
"u45293",383
"u37841",383
"u37674",383
"u29182",383
"u13222",383
"u95191",382
"u90451",382
"u90252",382
"u86428",382
"u84250",382
"u84106",382
"u69141",382
"u56619",382
"u51508",382
"u48088",382
"u35733",382
"u25500",382
"u19303",382
"u17288",382
"u13196",382
"u08970",382
"u08489",382
"u07700",382
"u98492",381
"u95580",381
"u91170",381
"u67039",381
"u57741",381
"u53954",381
"u53654",381
"u46867",381
"u43903",381
"u43782",381
"u39976",381
"u18385",381
"u17032",381
"u09790",381
"u05408",381
"u04912",381
"u04306",381
"u95877",380
"u91117",380
"u87300",380
"u86709",380
"u69473",380
"u69324",380
"u66666",380
"u64801",380
"u63852",380
"u61747",380
"u58953",380
"u57401",380
"u56945",380
"u54998",380
"u48853",380
"u23165",380
"u99635",379
"u91600",379
"u73429",379
"u72856",379
"u65441",379
"u61848",379
"u51864",379
"u50763",379
"u49950",379
"u45274",379
"u45059",379
"u40813",379
"u38054",379
"u35471",379
"u29791",379
"u29257",379
"u27047",379
"u19967",379
"u10378",379
"u09966",379
"u09935",379
"u03049",379
"u88545",378
"u87528",378
"u83673",378
"u75484",378
"u69035",378
"u60471",378
"u56646",378
"u54104",378
"u53906",378
"u50650",378
"u45247",378
"u44016",378
"u37989",378
"u34220",378
"u29211",378
"u23262",378
"u20995",378
"u11093",378
"u96781",377
"u96259",377
"u93098",377
"u92167",377
"u90256",377
"u90118",377
"u87202",377
"u84134",377
"u70550",377
"u70279",377
"u66976",377
"u63126",377
"u59826",377
"u58599",377
"u48718",377
"u44679",377
"u37572",377
"u33979",377
"u19311",377
"u18849",377
"u18677",377
"u93954",376
"u92539",376
"u79026",376
"u75173",376
"u65225",376
"u61811",376
"u61577",376
"u61551",376
"u53781",376
"u53656",376
"u50760",376
"u49620",376
"u49085",376
"u48807",376
"u41032",376
"u36440",376
"u29595",376
"u28969",376
"u28961",376
"u18727",376
"u14247",376
