"APPT_CANCEL_DATE","Count"
"2015-07-31 17:13:00",6
"2015-07-31 17:12:00",6
"2015-07-14 12:59:00",6
"2015-07-14 12:58:00",6
"2015-07-06 09:59:00",6
"2015-06-23 09:47:00",6
"2015-05-07 08:03:00",6
"2015-04-01 14:08:00",6
"2015-04-01 14:00:00",6
"2015-03-03 15:40:00",6
"2015-02-26 11:45:00",6
"2015-02-20 16:06:00",6
"2014-11-20 11:31:00",6
"2014-11-20 11:10:00",6
"2014-11-19 16:30:00",6
"2014-11-12 15:25:00",6
"2014-09-29 08:20:00",6
"2014-09-24 12:53:00",6
"2014-09-05 09:38:00",6
"2014-08-07 12:32:00",6
"2014-08-02 08:36:00",6
"2014-07-18 08:48:00",6
"2014-06-02 15:46:00",6
"2014-05-30 17:56:00",6
"2014-05-30 17:53:00",6
"2014-05-27 13:42:00",6
"2014-05-02 18:36:00",6
"2014-05-02 18:30:00",6
"2014-05-02 16:40:00",6
"2014-05-01 18:58:00",6
"2014-04-28 05:51:00",6
"2014-04-28 05:50:00",6
"2014-04-16 13:22:00",6
"2014-04-16 13:21:00",6
"2014-04-16 13:19:00",6
"2014-04-08 17:56:00",6
"2014-04-08 17:55:00",6
"2014-04-08 17:53:00",6
"2014-04-08 12:37:00",6
"2014-04-02 17:23:00",6
"2014-03-21 16:26:00",6
"2014-03-21 16:25:00",6
"2014-03-21 16:24:00",6
"2014-03-12 15:24:00",6
"2014-03-06 14:21:00",6
"2014-02-05 17:54:00",6
"2014-02-04 19:13:00",6
"2014-01-08 09:08:00",6
"2013-12-20 18:32:00",6
"2013-12-20 18:28:00",6
"2013-12-20 18:27:00",6
"2013-12-06 18:22:00",6
"2013-12-06 18:21:00",6
"2013-11-14 10:20:00",6
"2013-10-14 11:29:00",6
"2013-07-18 13:48:00",6
"2013-06-28 13:31:00",6
"2013-02-15 15:15:00",6
"2012-11-30 09:53:00",6
"2012-11-23 11:41:00",6
"2012-10-05 12:50:00",6
"2012-09-20 09:20:00",6
"2012-09-13 09:32:00",6
"2012-07-31 09:39:00",6
"2012-07-10 15:46:00",6
"2012-07-10 15:45:00",6
"2012-04-13 11:07:00",6
"2012-04-06 19:25:00",6
"2012-02-22 15:12:00",6
"2011-11-21 12:57:00",6
"2011-11-15 13:44:00",6
"2011-11-09 15:52:00",6
"2011-10-27 16:43:00",6
"2011-10-27 16:39:00",6
"2011-10-27 14:55:00",6
"2011-10-04 15:50:00",6
"2011-08-25 15:42:00",6
"2011-06-24 18:44:00",6
"2011-06-08 12:03:00",6
"2011-06-07 14:43:00",6
"2011-06-03 17:32:00",6
"2011-06-03 13:21:00",6
"2011-03-25 12:06:00",6
"2011-02-25 17:26:00",6
"2011-02-24 19:45:00",6
"2011-02-04 17:34:00",6
"2011-01-07 16:00:00",6
"2011-01-04 13:06:00",6
"2010-12-14 06:31:00",6
"2010-12-09 12:35:00",6
"2010-10-29 16:40:00",6
"2010-10-20 17:57:00",6
"2010-10-20 17:56:00",6
"2010-10-20 17:55:00",6
"2010-10-12 09:48:00",6
"2010-10-01 12:12:00",6
"2010-08-27 06:19:00",6
"2010-08-26 16:15:00",6
"2010-08-19 09:46:00",6
"2010-08-12 12:12:00",6
"2010-08-04 11:17:00",6
"2010-08-04 07:34:00",6
"2010-07-31 12:04:00",6
"2010-05-28 12:54:00",6
"2010-05-27 10:07:00",6
"2010-05-17 15:34:00",6
"2010-05-14 15:23:00",6
"2010-05-11 10:12:00",6
"2010-04-28 19:57:00",6
"2010-04-07 12:45:00",6
"2010-03-10 00:00:00",6
"2010-02-17 11:45:00",6
"2010-02-05 14:35:00",6
"2010-02-03 13:12:00",6
"2010-01-13 15:59:00",6
"2009-12-08 16:41:00",6
"2009-12-04 15:38:00",6
"2009-11-24 10:24:00",6
"2009-11-24 09:56:00",6
"2009-11-22 08:35:00",6
"2009-11-09 17:38:00",6
"2009-11-07 11:01:00",6
"2009-11-02 18:03:00",6
"2009-10-27 12:18:00",6
"2009-10-26 16:31:00",6
"2009-10-25 17:01:00",6
"2009-09-22 09:19:00",6
"2016-07-29 13:46:00",5
"2016-06-29 12:09:00",5
"2016-06-10 13:38:00",5
"2016-06-03 11:09:00",5
"2016-06-02 13:25:00",5
"2016-03-14 15:11:00",5
"2016-02-17 08:26:00",5
"2016-01-15 10:51:00",5
"2015-09-30 12:26:00",5
"2015-07-21 14:27:00",5
"2015-07-06 11:30:00",5
"2015-06-26 13:24:00",5
"2015-06-23 09:46:00",5
"2015-06-22 14:44:00",5
"2015-04-01 14:07:00",5
"2015-04-01 14:03:00",5
"2015-04-01 14:01:00",5
"2014-12-08 09:09:00",5
"2014-11-30 13:52:00",5
"2014-10-08 16:22:00",5
"2014-09-05 12:43:00",5
"2014-08-27 11:42:00",5
"2014-08-08 15:54:00",5
"2014-08-01 09:58:00",5
"2014-07-16 12:01:00",5
"2014-07-16 12:00:00",5
"2014-07-16 11:59:00",5
"2014-07-16 11:58:00",5
"2014-06-23 16:50:00",5
"2014-06-06 15:13:00",5
"2014-05-30 17:54:00",5
"2014-05-15 06:09:00",5
"2014-05-02 18:39:00",5
"2014-05-02 18:38:00",5
"2014-05-02 18:35:00",5
"2014-05-02 18:33:00",5
"2014-05-01 18:59:00",5
"2014-05-01 18:41:00",5
"2014-05-01 18:36:00",5
"2014-05-01 18:32:00",5
"2014-05-01 18:31:00",5
"2014-05-01 18:26:00",5
"2014-04-25 09:00:00",5
"2014-04-16 13:25:00",5
"2014-04-16 13:23:00",5
"2014-04-16 13:18:00",5
