"MEETING_ROOM","Count"
"ww/rooavel",40
"sit room l",40
"courtyard",40
"522",40
"375",40
"256",40
"ww / south",39
"statefloo",39
"sms small",39
"eeob 25",39
"374 ipb",39
"206 east w",39
"ww sit roo",38
"wshr",38
"ew112",38
"91",38
"469",38
"ww dining",37
"kitchen ga",37
"eeob itr",37
"eeob 374 s",37
"5213",37
"461",37
"436",37
"430/c",37
"42",37
"37 truma",37
"sca/wh",36
"pfs dining",36
"park on st",36
"ikes cafe",36
"eeob208",36
"eeob172",36
"eeob 375",36
"8104",36
"6104",36
"476a",36
"455",36
"26",36
"257",36
"ww/flotus",35
"vps offic",35
"pool",35
"neob suit",35
"neob 3201",35
"ew 1st flo",35
"eatery (2n",35
"341",35
"202a ew",35
"10224",35
"037bowlin",35
"wwwh mess",34
"wwoval of",34
"upper cros",34
"tba",34
"room 319",34
"eeob 499",34
"b037",34
"66",34
"430 b",34
"374/sms",34
"374 (sms l",34
"3113",34
"259b",34
"204 east w",34
"state dinn",33
"meeting",33
"kitchen",33
"ewstate f",33
"ew room 2",33
"ew 13a",33
"eeob115",33
"eeob037",33
"crg 374",33
"338",33
"# 30 ikes",33
"room 445",32
"room #350",32
"rm 476",32
"ew recepti",32
"eeob 151",32
"b38",32
"546",32
"281a",32
"135c",32
"112 east w",32
"wwwhsr",31
"west wing lobby",31
"subcrg 445",31
"sow230",31
"rear foyer",31
"floral sho",31
"eeob 68",31
"eeob 163",31
"b2",31
"594",31
"5",31
"ww roose",30
"ww lower",30
"south grds",30
"pebble bea",30
"neob suite",30
"itr (474)",30
"eeob rm 97",30
"eeob rm 17",30
"eeob itr 4",30
"dining roo",30
"curators o",30
"chief of s",30
"3rd floor",30
"2011",30
"wwt",29
"ww 2nd f",29
"ww-whsr",29
"the ward r",29
"sow 238",29
"rm. 208",29
"ovp",29
"grounds of",29
"eeob 464",29
"eeob 287",29
"east brief",29
"6222",29
"517.1",29
"411.5",29
"37 bowling",29
"298",29
"west exc d",28
"truman bol",28
"the roosev",28
"suite 4000",28
"state place",28
"neob parki",28
"navymess",28
"first floo",28
"eeob tbd",28
"eeob rm 74",28
"eeob 292",28
"eeob 067",28
"copwg 445",28
"9213",28
"584",28
"565",28
"4225",28
"374 sms ex",28
"037 eeob b",28
"ww/rr",27
"ww lower n",27
"sit rm",27
"sb222",27
"s ground",27
"room 210",27
"room 12",27
"main kitch",27
"eeob230a",27
"eeob 52",27
"eeob 267",27
"361",27
"318",27
"289a",27
"ww2nd flo",26
"ww/wh navy",26
"roosvelt r",26
"oeob 037/t",26
"eeob 268",26
"eeob 230 a",26
"eeob 210/212",26
"eeob 069",26
"east exec.",26
"b010",26
"98",26
"598",26
"428.0",26
"4186c",26
"275",26
"ww/vp offi",25
"ww/ mess",25
"ww staff",25
"ww gfl",25
"vps ww of",25
"sw gate",25
"rossevelt",25
"room 476",25
"rm #94 97",25
"office of",25
"ew rm 100",25
"ew 100 / s",25
"eeob210",25
"eeob sms",25
"eeob 280",25
"94/itr",25
"87",25
"1st fl/ww",25
"174",25
"167",25
"154",25
"ww photo",24
"wh/eeob/n",24
"wh lobby",24
"trumanbowl",24
"sow 230a/b",24
"southeast",24
"room #476",24
"rm 97",24
"g 102",24
"ew rm 206",24
"eeobbowli",24
"eeob180a",24
"eeob sow 2",24
"eeob 65",24
"eeob 183",24
"eeob 143",24
"594a",24
"4806",24
"271 (tenta",24
"24",24
"223.0",24
"17",24
"037/ bowli",24
"ww/whsr ex",23
"ww-wh mess",23
"ww-rooseve",23
"wh/eeob/ne",23
"vp ww ofc",23
"sms/374",23
"room 4000",23
"eeob178",23
"eeob rm 94",23
"eeob 53",23
"eeob 110",23
"475",23
"473a",23
"456",23
"445 r bila",23
"374 rb",23
"305",23
"23",23
"121",23
"ww/staff m",22
"wh and s.",22
"visitors o",22
"sow eeob 2",22
"s lawn",22
"room 228",22
"pfs mess",22
"garage",22
"ew. east r",22
"eeob267",22
"eeob libra",22
"eeob 462",22
"eeob 227",22
"6201",22
"530a",22
"490",22
"474 india",22
"430 eeob",22
"4001",22
"374 (exec)",22
"3109",22
"210/220",22
"133",22
"100 eeob",22
"037_bowlin",22
"wwground",21
"ww/upper p",21
"ww groun",21
"whmo",21
"west wing,",21
"susan rice",21
"room 172",21
"physician'",21
"oval/ew 10",21
"oeob037/tr",21
"madison +",21
"g1",21
"ew/man",21
"eeob/west",21
"eeob 246",21
"eeob 18",21
"eeob 169",21
"eeob 112a",21
"cr545",21
"91014",21
"5th floor",21
"362",21
"328",21
"2nd flr re",21
"283a",21
"210/12",21
"2000",21
"065 and 33",21
"0.37",21
"wwstaff s",20
"wwgl",20
"trumanalle",20
"subipc ro",20
"rm 206 eas",20
"press room",20
"old family dining ro",20
"o59",20
"nw gate",20
"mess ww",20
"g203",20
"g037",20
"exec brief",20
"ew 209a",20
"eeob in ro",20
"eeob 524",20
"eeob 394",20
"eeob 216",20
"eeob 211",20
"eeob 101",20
"eeob 001",20
"6013",20
"570",20
"533/9104",20
"443.0",20
"408",20
"277",20
"206 ew",20
"204 ew",20
"1st fl ww",20
"130.0",20
"037 eeob",20
"037-truman",20
"ww1st fl",19
"ww/white h",19
"ww/lobby",19
"ww white h",19
"ww roosev",19
"ww 2nd",19
"whsre",19
"vps office",19
"upper press",19
"the truman",19
"sc auditor",19
"room 33",19
"room 216",19
"nixon bowl",19
"lower suit",19
"ipb 374",19
"ew shelter",19
"ew 209",19
"eeob rm 42",19
"eeob cr 44",19
"eeob bowling alley",19
"eeob 77",19
"eeob 76",19
"eeob 528",19
"eeob 443",19
"eeob 326",19
"eeob 115`",19
"eeob 072",19
"cabinet room",19
"551",19
"547",19
"530/532",19
"37a",19
"37 bowlin",19
"331",19
"2008 gym",19
"103",19
"037bowling",19
"037/bowling alley",19
"ww/oval office",18
"ww//ward r",18
"ww//oval o",18
"ww//navy m",18
"ww ward r",18
"ww cabin",18
"whsrjfk",18
"so grounds",18
"room 457",18
"rm 428",18
"ovaloffic",18
