Event,n
U01254,2
U01255,3
U01256,2
U01257,2
U01259,4
U01265,1
U01266,1
U01267,1
U01268,1
U01269,2
U01270,1
U01271,2
U01272,10
U01273,3
U01274,6
U01275,6
U01277,1
U01278,1
U01279,1
U01280,7
U01281,1
U01283,1
U01284,1
U01285,3
U01286,6
U01287,5
U01288,2
U01289,2
U01290,4
U01291,6
U01292,6
U01293,1
U01294,1
U01295,2
U01296,3
U01298,81
U01303,1
U01304,1
U01306,13
U01307,134
U01308,375
U01309,1
U01310,3
U01311,13
U01312,3
U01313,9
U01314,4
U01317,3
U01318,6
U01319,2
U01320,5
U01321,1
U01322,2
U01323,1
U01325,1
U01326,1
U01327,3
U01329,1
U01330,2
U01331,1
U01332,4
U01333,1
U01334,1
U01335,1
U01336,1
U01337,2
U01338,2
U01339,1
U01340,1
U01341,4
U01342,5
U01343,1
U01344,2
U01345,1
U01346,1
U01347,1
U01348,1
U01349,2
U01351,2
U01352,1
U01353,1
U01354,1
U01355,1
U01356,1
U01357,1
U01358,1
U01359,1
U01360,1
U01361,1
U01362,1
U01363,1
U01364,1
U01365,1
U01366,1
U01367,1
U01368,1
U01369,1
U01370,1
U01371,1
U01372,3
U01373,1
U01374,1
U01375,1
U01376,1
U01377,1
U01378,1
U01379,9
U01382,1
U01383,1
U01384,1
U01385,5
U01386,5
U01388,3
U01390,3
U01391,50
U01392,4
U01394,20
U01396,3
U01398,2
U01399,1
U01400,1
U01401,2
U01402,5
U01403,1
U01405,2
U01406,1
U01407,1
U01408,1
U01410,1
U01411,7
U01412,1
U01413,2
U01414,1
U01415,2
U01416,1
U01417,1
U01418,2
U01419,1
U01420,7
U01421,8
U01422,5
U01423,3
U01424,2
U01425,5
U01426,2
U01427,2
U01428,6
U01429,2
U01430,1
U01431,1
U01432,1
U01433,1
U01434,3
U01435,1
U01436,2
U01437,12
U01438,4
U01439,2
U01440,1
U01441,1
U01442,3
U01443,3
U01444,1
U01445,1
U01446,11
U01447,2
U01448,6
U01449,1
U01450,1
U01451,5
U01452,5
U01453,1
U01454,6
U01455,6
U01456,1
U01457,1
U01458,1
U01459,4
U01460,1
U01461,1
U01462,18
U01463,1
U01464,2
U01465,1
U01466,1
U01467,2
U01469,1
U01470,5
U01471,6
U01472,13
U01473,3
U01475,3
U01476,2
U01477,1
U01478,2
U01479,3
U01480,2
U01481,1
U01482,1
U01483,3
U01485,6
U01486,18
U01487,6
U01488,2
U01489,1
U01490,8
U01492,2
U01493,2
U01495,3
U01497,6
U01498,5
U01499,2
U01500,6
U01501,1
U01502,1
U01503,2
U01504,3
U01505,5
U01506,5
U01507,5
U01508,3
U01509,9
U01510,1
U01511,4
U01512,1
U01513,1
U01514,5
U01515,1
U01517,3
U01518,7
U01519,6
U01521,5
U01523,1
U01524,6
U01526,1
U01527,1
U01528,1
U01529,2
U01530,1
U01531,2
U01532,34
U01533,1
U01534,19
U01535,6
U01536,25
U01537,3
U01539,1
U01540,6
U01541,1
U01542,2
U01543,6
U01544,4
U01545,2
U01546,8
U01547,8
U01548,4
U01551,1
U01552,4
U01553,1
U01554,1
U01555,1
U01556,6
U01557,6
U01558,6
U01559,2
U01560,1
U01561,1
U01562,5
U01564,6
U01565,1
U01568,6
U01569,4
U01570,6
U01571,9
U01572,19
U01573,2
U01574,1
U01575,3
U01576,1
U01577,6
U01578,6
U01579,5
U01580,1
U01581,6
U01582,5
U01583,1
U01584,6
U01585,17
U01586,1
U01587,1
U01588,1
U01589,6
U01590,1
U01591,4
U01592,3
U01593,22
U01595,5
U01596,2
U01597,3
U01598,3
U01599,6
U01600,6
U01601,5
U01602,4
U01603,2
U01604,1
U01605,1
U01606,1
U01607,1
U01609,1
U01610,5
U01611,2
U01612,1
U01613,6
U01614,1
U01615,2
U01616,1
U01617,11
U01619,3
U01620,2
U01621,1
U01622,1
U01623,1
U01624,2
U01625,232
U01626,248
U01627,3
U01628,9
U01629,1
U01630,1
U01631,2
U01632,2
U01633,10
U01634,2
U01635,2
U01636,4
U01637,1
U01638,1
U01639,38
U01640,11
U01641,35
U01642,2
U01643,1
U01644,7
U01645,1
U01646,1
U01647,1
U01648,245
U01650,14
U01651,9
U01652,1
U01653,4
U01655,4
U01656,4
U01657,7
